# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T14:39:57
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-710.08286712	0.00000000
-710.04953379	0.00000003
-710.01620045	0.00000008
-709.98286712	0.00000033
-709.94953379	0.00000020
-709.91620046	0.00000040
-709.88286712	0.00000057
-709.84953379	0.00000102
-709.81620046	0.00000091
-709.78286712	0.00000066
-709.74953379	0.00000025
-709.71620046	0.00000020
-709.68286712	-0.00000178
-709.64953379	0.00000093
-709.61620046	-0.00000202
-709.58286712	-0.00000111
-709.54953379	-0.00000323
-709.51620046	-0.00000418
-709.48286713	-0.00000432
-709.44953379	-0.00000242
-709.41620046	-0.00000913
-709.38286713	-0.00000861
-709.34953379	-0.00000985
-709.31620046	-0.00000521
-709.28286713	-0.00000838
-709.24953379	-0.00000204
-709.21620046	-0.00000958
-709.18286713	-0.00000843
-709.14953379	-0.00000852
-709.11620046	-0.00000287
-709.08286713	-0.00001142
-709.04953380	-0.00001538
-709.01620046	-0.00001777
-708.98286713	-0.00001253
-708.94953380	-0.00002062
-708.91620046	-0.00002639
-708.88286713	-0.00003631
-708.84953380	-0.00003552
-708.81620046	-0.00001789
-708.78286713	-0.00003838
-708.74953380	-0.00005880
-708.71620046	-0.00004948
-708.68286713	-0.00006315
-708.64953380	-0.00008518
-708.61620047	-0.00006700
-708.58286713	-0.00006529
-708.54953380	-0.00008109
-708.51620047	-0.00006505
-708.48286713	-0.00009731
-708.44953380	-0.00012634
-708.41620047	-0.00011828
-708.38286713	-0.00015658
-708.34953380	-0.00012583
-708.31620047	-0.00015284
-708.28286713	-0.00018131
-708.24953380	-0.00019390
-708.21620047	-0.00018414
-708.18286714	-0.00018615
-708.14953380	-0.00021371
-708.11620047	-0.00022231
-708.08286714	-0.00023372
-708.04953380	-0.00026821
-708.01620047	-0.00028694
-707.98286714	-0.00027748
-707.94953380	-0.00025856
-707.91620047	-0.00027392
-707.88286714	-0.00029542
-707.84953380	-0.00032998
-707.81620047	-0.00034937
-707.78286714	-0.00032994
-707.74953381	-0.00039122
-707.71620047	-0.00035728
-707.68286714	-0.00039661
-707.64953381	-0.00039837
-707.61620047	-0.00040822
-707.58286714	-0.00040054
-707.54953381	-0.00045354
-707.51620047	-0.00043924
-707.48286714	-0.00044135
-707.44953381	-0.00046785
-707.41620048	-0.00042975
-707.38286714	-0.00050476
-707.34953381	-0.00054332
-707.31620048	-0.00055761
-707.28286714	-0.00051009
-707.24953381	-0.00058961
-707.21620048	-0.00055510
-707.18286714	-0.00057182
-707.14953381	-0.00054766
-707.11620048	-0.00060242
-707.08286714	-0.00059682
-707.04953381	-0.00059761
-707.01620048	-0.00059647
-706.98286715	-0.00054375
-706.94953381	-0.00062722
-706.91620048	-0.00060372
-706.88286715	-0.00063110
-706.84953381	-0.00061750
-706.81620048	-0.00056197
-706.78286715	-0.00059307
-706.74953381	-0.00056821
-706.71620048	-0.00054239
-706.68286715	-0.00053354
-706.64953381	-0.00060917
-706.61620048	-0.00052585
-706.58286715	-0.00053579
-706.54953382	-0.00052670
-706.51620048	-0.00054923
-706.48286715	-0.00053573
-706.44953382	-0.00050307
-706.41620048	-0.00048888
-706.38286715	-0.00049584
-706.34953382	-0.00047064
-706.31620048	-0.00045604
-706.28286715	-0.00048325
-706.24953382	-0.00048856
-706.21620048	-0.00044298
-706.18286715	-0.00051342
-706.14953382	-0.00053534
-706.11620049	-0.00052698
-706.08286715	-0.00045097
-706.04953382	-0.00047774
-706.01620049	-0.00054510
-705.98286715	-0.00050972
-705.94953382	-0.00048790
-705.91620049	-0.00054307
-705.88286715	-0.00056348
-705.84953382	-0.00057546
-705.81620049	-0.00057192
-705.78286715	-0.00056340
-705.74953382	-0.00058939
-705.71620049	-0.00063281
-705.68286716	-0.00056715
-705.64953382	-0.00063566
-705.61620049	-0.00068083
-705.58286716	-0.00068496
-705.54953382	-0.00071485
-705.51620049	-0.00065496
-705.48286716	-0.00069604
-705.44953382	-0.00073597
-705.41620049	-0.00069894
-705.38286716	-0.00065957
-705.34953382	-0.00073440
-705.31620049	-0.00069479
-705.28286716	-0.00066438
-705.24953383	-0.00073190
-705.21620049	-0.00069300
-705.18286716	-0.00065096
-705.14953383	-0.00071536
-705.11620049	-0.00068403
-705.08286716	-0.00067454
-705.04953383	-0.00066202
-705.01620049	-0.00061375
-704.98286716	-0.00058041
-704.94953383	-0.00055641
-704.91620049	-0.00059654
-704.88286716	-0.00051240
-704.84953383	-0.00048317
-704.81620050	-0.00052143
-704.78286716	-0.00046684
-704.74953383	-0.00045447
-704.71620050	-0.00042587
-704.68286716	-0.00042573
-704.64953383	-0.00034712
-704.61620050	-0.00032886
-704.58286716	-0.00026946
-704.54953383	-0.00027227
-704.51620050	-0.00023861
-704.48286716	-0.00022499
-704.44953383	-0.00019282
-704.41620050	-0.00014777
-704.38286717	-0.00012208
-704.34953383	-0.00003328
-704.31620050	-0.00003209
-704.28286717	-0.00007529
-704.24953383	-0.00002761
-704.21620050	-0.00003185
-704.18286717	-0.00001770
-704.14953383	-0.00006807
-704.11620050	-0.00007987
-704.08286717	-0.00006727
-704.04953383	-0.00008082
-704.01620050	-0.00013258
-703.98286717	-0.00017968
-703.94953384	-0.00020886
-703.91620050	-0.00033569
-703.88286717	-0.00036430
-703.84953384	-0.00045964
-703.81620050	-0.00054592
-703.78286717	-0.00067577
-703.74953384	-0.00080112
-703.71620050	-0.00094338
-703.68286717	-0.00100189
-703.64953384	-0.00120604
-703.61620050	-0.00142168
-703.58286717	-0.00152812
-703.54953384	-0.00161132
-703.51620051	-0.00181046
-703.48286717	-0.00198371
-703.44953384	-0.00215307
-703.41620051	-0.00218246
-703.38286717	-0.00236357
-703.34953384	-0.00250943
-703.31620051	-0.00254194
-703.28286717	-0.00263457
