# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T14:56:41
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-710.08286712	0.00000000
-710.04953379	0.00000000
-710.01620045	0.00000002
-709.98286712	0.00000000
-709.94953379	0.00000011
-709.91620046	0.00000029
-709.88286712	0.00000046
-709.84953379	0.00000098
-709.81620046	0.00000121
-709.78286712	0.00000168
-709.74953379	0.00000267
-709.71620046	0.00000290
-709.68286712	0.00000369
-709.64953379	0.00000376
-709.61620046	0.00000206
-709.58286712	0.00000489
-709.54953379	0.00000437
-709.51620046	-0.00000132
-709.48286713	0.00000234
-709.44953379	-0.00000027
-709.41620046	-0.00000059
-709.38286713	-0.00000724
-709.34953379	0.00000089
-709.31620046	-0.00001000
-709.28286713	-0.00001220
-709.24953379	-0.00001114
-709.21620046	-0.00002404
-709.18286713	-0.00003672
-709.14953379	-0.00003086
-709.11620046	-0.00003517
-709.08286713	-0.00002880
-709.04953380	-0.00004267
-709.01620046	-0.00004896
-708.98286713	-0.00006202
-708.94953380	-0.00005572
-708.91620046	-0.00005582
-708.88286713	-0.00006311
-708.84953380	-0.00007217
-708.81620046	-0.00007900
-708.78286713	-0.00007404
-708.74953380	-0.00009441
-708.71620047	-0.00008975
-708.68286713	-0.00008654
-708.64953380	-0.00009591
-708.61620047	-0.00007958
-708.58286713	-0.00009275
-708.54953380	-0.00008404
-708.51620047	-0.00010885
-708.48286713	-0.00012131
-708.44953380	-0.00012018
-708.41620047	-0.00013352
-708.38286713	-0.00014586
-708.34953380	-0.00013902
-708.31620047	-0.00020060
-708.28286714	-0.00016859
-708.24953380	-0.00016634
-708.21620047	-0.00018985
-708.18286714	-0.00022015
-708.14953380	-0.00023322
-708.11620047	-0.00021954
-708.08286714	-0.00023207
-708.04953380	-0.00023049
-708.01620047	-0.00028621
-707.98286714	-0.00029759
-707.94953380	-0.00029887
-707.91620047	-0.00033653
-707.88286714	-0.00037445
-707.84953381	-0.00035260
-707.81620047	-0.00038503
-707.78286714	-0.00042163
-707.74953381	-0.00043355
-707.71620047	-0.00039673
-707.68286714	-0.00043892
-707.64953381	-0.00047661
-707.61620047	-0.00046247
-707.58286714	-0.00051393
-707.54953381	-0.00051132
-707.51620047	-0.00058198
-707.48286714	-0.00057349
-707.44953381	-0.00057693
-707.41620048	-0.00062523
-707.38286714	-0.00063960
-707.34953381	-0.00065662
-707.31620048	-0.00058968
-707.28286714	-0.00061616
-707.24953381	-0.00070358
-707.21620048	-0.00064668
-707.18286714	-0.00074747
-707.14953381	-0.00068253
-707.11620048	-0.00065661
-707.08286714	-0.00066668
-707.04953381	-0.00072084
-707.01620048	-0.00070693
-706.98286715	-0.00071877
-706.94953381	-0.00073286
-706.91620048	-0.00076788
-706.88286715	-0.00079854
-706.84953381	-0.00076703
-706.81620048	-0.00075865
-706.78286715	-0.00077327
-706.74953381	-0.00079303
-706.71620048	-0.00078038
-706.68286715	-0.00081464
-706.64953382	-0.00080082
-706.61620048	-0.00082438
-706.58286715	-0.00089421
-706.54953382	-0.00091967
-706.51620048	-0.00087460
-706.48286715	-0.00082331
-706.44953382	-0.00083903
-706.41620048	-0.00084904
-706.38286715	-0.00083836
-706.34953382	-0.00084481
-706.31620048	-0.00084285
-706.28286715	-0.00081685
-706.24953382	-0.00077646
-706.21620049	-0.00076498
-706.18286715	-0.00079955
-706.14953382	-0.00075087
-706.11620049	-0.00076885
-706.08286715	-0.00073710
-706.04953382	-0.00073633
-706.01620049	-0.00072213
-705.98286715	-0.00071659
-705.94953382	-0.00075391
-705.91620049	-0.00074454
-705.88286715	-0.00073086
-705.84953382	-0.00070383
-705.81620049	-0.00067627
-705.78286716	-0.00065487
-705.74953382	-0.00072729
-705.71620049	-0.00069963
-705.68286716	-0.00065025
-705.64953382	-0.00062308
-705.61620049	-0.00068676
-705.58286716	-0.00066723
-705.54953382	-0.00068924
-705.51620049	-0.00068726
-705.48286716	-0.00066625
-705.44953382	-0.00070523
-705.41620049	-0.00067488
-705.38286716	-0.00069337
-705.34953383	-0.00075508
-705.31620049	-0.00070940
-705.28286716	-0.00076274
-705.24953383	-0.00070644
-705.21620049	-0.00068210
-705.18286716	-0.00068810
-705.14953383	-0.00073210
-705.11620049	-0.00074210
-705.08286716	-0.00074018
-705.04953383	-0.00077172
-705.01620049	-0.00071842
-704.98286716	-0.00073463
-704.94953383	-0.00079742
-704.91620050	-0.00082073
-704.88286716	-0.00083959
-704.84953383	-0.00080785
-704.81620050	-0.00087060
-704.78286716	-0.00081315
-704.74953383	-0.00084720
-704.71620050	-0.00085067
-704.68286716	-0.00086516
-704.64953383	-0.00084228
-704.61620050	-0.00085143
-704.58286717	-0.00084919
-704.54953383	-0.00084182
-704.51620050	-0.00085235
-704.48286717	-0.00082433
-704.44953383	-0.00081613
-704.41620050	-0.00082092
-704.38286717	-0.00075542
-704.34953383	-0.00074572
-704.31620050	-0.00073391
-704.28286717	-0.00073050
-704.24953383	-0.00072962
-704.21620050	-0.00071252
-704.18286717	-0.00066026
-704.14953384	-0.00067832
-704.11620050	-0.00068761
-704.08286717	-0.00058090
-704.04953384	-0.00062015
-704.01620050	-0.00061370
-703.98286717	-0.00059107
-703.94953384	-0.00058565
-703.91620050	-0.00051278
-703.88286717	-0.00051011
-703.84953384	-0.00041168
-703.81620050	-0.00037818
-703.78286717	-0.00041528
-703.74953384	-0.00038338
-703.71620051	-0.00027737
-703.68286717	-0.00032559
-703.64953384	-0.00033656
-703.61620051	-0.00029243
-703.58286717	-0.00029904
-703.54953384	-0.00018502
-703.51620051	-0.00024086
-703.48286717	-0.00021293
-703.44953384	-0.00019351
-703.41620051	-0.00012525
-703.38286717	-0.00016691
-703.34953384	-0.00020346
-703.31620051	-0.00021112
-703.28286718	-0.00023755
-703.24953384	-0.00026579
-703.21620051	-0.00027665
-703.18286718	-0.00034467
-703.14953384	-0.00042363
-703.11620051	-0.00049001
-703.08286718	-0.00058994
-703.04953384	-0.00068013
-703.01620051	-0.00076094
-702.98286718	-0.00093574
-702.94953384	-0.00106292
-702.91620051	-0.00118355
-702.88286718	-0.00129862
-702.84953385	-0.00148730
-702.81620051	-0.00164804
-702.78286718	-0.00181359
-702.74953385	-0.00198017
-702.71620051	-0.00215779
-702.68286718	-0.00238031
-702.64953385	-0.00253612
-702.61620051	-0.00263246
-702.58286718	-0.00283043
-702.54953385	-0.00294970
-702.51620052	-0.00306772
-702.48286718	-0.00318648
-702.44953385	-0.00321842
-702.41620052	-0.00324392
-702.38286718	-0.00325740
-702.34953385	-0.00324651
-702.31620052	-0.00312935
-702.28286718	-0.00301553
-702.24953385	-0.00282678
-702.21620052	-0.00263702
-702.18286718	-0.00241740
-702.14953385	-0.00205327
-702.11620052	-0.00175292
-702.08286719	-0.00135233
-702.04953385	-0.00090439
-702.01620052	-0.00047708
-701.98286719	0.00001368
-701.94953385	0.00044706
-701.91620052	0.00100371
-701.88286719	0.00149947
-701.84953385	0.00192742
-701.81620052	0.00244550
-701.78286719	0.00286016
-701.74953385	0.00326970
-701.71620052	0.00364007
-701.68286719	0.00394313
-701.64953386	0.00418956
-701.61620052	0.00436852
-701.58286719	0.00440045
-701.54953386	0.00444726
-701.51620052	0.00432893
-701.48286719	0.00414401
-701.44953386	0.00383852
-701.41620052	0.00344850
-701.38286719	0.00296448
-701.34953386	0.00244608
-701.31620052	0.00183601
-701.28286719	0.00120759
-701.24953386	0.00039287
-701.21620053	-0.00036922
-701.18286719	-0.00124190
-701.14953386	-0.00203344
-701.11620053	-0.00283643
-701.08286719	-0.00355663
-701.04953386	-0.00422118
-701.01620053	-0.00494873
-700.98286719	-0.00551396
-700.94953386	-0.00594325
-700.91620053	-0.00634050
-700.88286719	-0.00654143
-700.84953386	-0.00662573
-700.81620053	-0.00659165
-700.78286720	-0.00642822
-700.74953386	-0.00608374
-700.71620053	-0.00572311
-700.68286720	-0.00518559
-700.64953386	-0.00448375
-700.61620053	-0.00378304
-700.58286720	-0.00294499
-700.54953386	-0.00211228
-700.51620053	-0.00120856
-700.48286720	-0.00024471
-700.44953387	0.00057861
-700.41620053	0.00139689
-700.38286720	0.00216627
-700.34953387	0.00286335
-700.31620053	0.00333674
-700.28286720	0.00384588
-700.24953387	0.00417811
-700.21620053	0.00426913
-700.18286720	0.00430918
-700.14953387	0.00415966
-700.11620053	0.00380710
-700.08286720	0.00337707
-700.04953387	0.00279973
-700.01620054	0.00213739
-699.98286720	0.00145048
-699.94953387	0.00057320
-699.91620054	-0.00028288
-699.88286720	-0.00112986
-699.84953387	-0.00193740
-699.81620054	-0.00273772
-699.78286720	-0.00336130
-699.74953387	-0.00404552
-699.71620054	-0.00445984
-699.68286720	-0.00487143
-699.64953387	-0.00506027
-699.61620054	-0.00512185
-699.58286721	-0.00505650
-699.54953387	-0.00479976
-699.51620054	-0.00445632
-699.48286721	-0.00402209
-699.44953387	-0.00349452
-699.41620054	-0.00283870
-699.38286721	-0.00207401
-699.34953387	-0.00131660
-699.31620054	-0.00062296
-699.28286721	0.00004148
-699.24953387	0.00069444
-699.21620054	0.00128875
-699.18286721	0.00172650
-699.14953388	0.00207278
-699.11620054	0.00232129
-699.08286721	0.00239307
-699.04953388	0.00238424
-699.01620054	0.00223442
-698.98286721	0.00200417
-698.94953388	0.00156523
-698.91620054	0.00114487
-698.88286721	0.00066810
-698.84953388	0.00007936
-698.81620054	-0.00053029
-698.78286721	-0.00109526
-698.74953388	-0.00160130
-698.71620055	-0.00200567
-698.68286721	-0.00244129
-698.64953388	-0.00269504
-698.61620055	-0.00294924
-698.58286721	-0.00303907
-698.54953388	-0.00299778
-698.51620055	-0.00292187
-698.48286721	-0.00272264
-698.44953388	-0.00237936
-698.41620055	-0.00205753
-698.38286722	-0.00168205
-698.34953388	-0.00119012
-698.31620055	-0.00084627
-698.28286722	-0.00047380
-698.24953388	-0.00015604
-698.21620055	0.00017870
-698.18286722	0.00023520
-698.14953388	0.00035591
-698.11620055	0.00033422
-698.08286722	0.00018821
-698.04953388	-0.00003489
-698.01620055	-0.00034266
-697.98286722	-0.00069825
-697.94953389	-0.00115920
-697.91620055	-0.00164716
-697.88286722	-0.00211795
-697.84953389	-0.00257365
-697.81620055	-0.00301195
-697.78286722	-0.00342818
-697.74953389	-0.00375558
-697.71620055	-0.00394183
-697.68286722	-0.00392988
-697.64953389	-0.00389270
-697.61620055	-0.00375921
-697.58286722	-0.00347370
-697.54953389	-0.00309970
-697.51620056	-0.00266232
-697.48286722	-0.00218490
-697.44953389	-0.00155154
-697.41620056	-0.00091310
-697.38286722	-0.00029863
-697.34953389	0.00024934
-697.31620056	0.00079209
-697.28286722	0.00126728
-697.24953389	0.00157035
-697.21620056	0.00185169
-697.18286722	0.00200565
-697.14953389	0.00203033
-697.11620056	0.00187222
-697.08286723	0.00164860
-697.04953389	0.00134349
-697.01620056	0.00101183
-696.98286723	0.00054832
-696.94953389	0.00001612
-696.91620056	-0.00046896
-696.88286723	-0.00101218
-696.84953389	-0.00144473
-696.81620056	-0.00190027
-696.78286723	-0.00219269
-696.74953389	-0.00249507
-696.71620056	-0.00264785
-696.68286723	-0.00272316
-696.64953390	-0.00274206
-696.61620056	-0.00271005
-696.58286723	-0.00260211
-696.54953390	-0.00245245
-696.51620056	-0.00218009
-696.48286723	-0.00190501
-696.44953390	-0.00171150
-696.41620056	-0.00145404
-696.38286723	-0.00123980
-696.34953390	-0.00102772
-696.31620057	-0.00095293
-696.28286723	-0.00094409
-696.24953390	-0.00091846
-696.21620057	-0.00092471
-696.18286723	-0.00101246
-696.14953390	-0.00114814
-696.11620057	-0.00127810
-696.08286723	-0.00139394
-696.04953390	-0.00151619
-696.01620057	-0.00168895
-695.98286723	-0.00176063
-695.94953390	-0.00180096
-695.91620057	-0.00176445
-695.88286724	-0.00174551
-695.84953390	-0.00163154
-695.81620057	-0.00143971
-695.78286724	-0.00124188
-695.74953390	-0.00099117
-695.71620057	-0.00073300
-695.68286724	-0.00054263
-695.64953390	-0.00031338
-695.61620057	-0.00011259
-695.58286724	0.00005788
-695.54953390	0.00016065
-695.51620057	0.00017860
-695.48286724	0.00014257
-695.44953391	-0.00000732
-695.41620057	-0.00017779
-695.38286724	-0.00039311
-695.34953391	-0.00071489
-695.31620057	-0.00104610
-695.28286724	-0.00139984
-695.24953391	-0.00177256
-695.21620057	-0.00202566
-695.18286724	-0.00229906
-695.14953391	-0.00260534
-695.11620057	-0.00271010
-695.08286724	-0.00284004
-695.04953391	-0.00282013
-695.01620058	-0.00279457
-694.98286724	-0.00265121
-694.94953391	-0.00241564
-694.91620058	-0.00213755
-694.88286724	-0.00182276
-694.84953391	-0.00146814
-694.81620058	-0.00109484
-694.78286724	-0.00071640
-694.74953391	-0.00038103
-694.71620058	-0.00012778
-694.68286724	0.00010323
-694.64953391	0.00026079
-694.61620058	0.00033978
-694.58286725	0.00031059
-694.54953391	0.00022665
-694.51620058	0.00003856
-694.48286725	-0.00014563
-694.44953391	-0.00037148
-694.41620058	-0.00070400
-694.38286725	-0.00096745
-694.34953391	-0.00133050
-694.31620058	-0.00160173
-694.28286725	-0.00191585
-694.24953392	-0.00210255
-694.21620058	-0.00228558
-694.18286725	-0.00232764
-694.14953392	-0.00235344
-694.11620058	-0.00236703
-694.08286725	-0.00225882
-694.04953392	-0.00222805
-694.01620058	-0.00211786
-693.98286725	-0.00194040
-693.94953392	-0.00176475
-693.91620058	-0.00165069
-693.88286725	-0.00152539
-693.84953392	-0.00153278
-693.81620059	-0.00145323
-693.78286725	-0.00140373
-693.74953392	-0.00147994
-693.71620059	-0.00157519
-693.68286725	-0.00175778
-693.64953392	-0.00195366
-693.61620059	-0.00213926
-693.58286725	-0.00233859
-693.54953392	-0.00246422
-693.51620059	-0.00267005
-693.48286725	-0.00288626
-693.44953392	-0.00295375
