# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T14:56:41
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-15.80204799
0.00732601	-18.60177106
0.01465201	-30.99437692
0.02197802	-30.53733350
0.02930403	-30.23249183
0.03663004	-37.22820477
0.04395604	-31.18944024
0.05128205	-30.72227497
0.05860806	-37.08445870
0.06593407	-33.12502352
0.07326007	-33.41172985
0.08058608	-37.39800885
0.08791209	-34.81387416
0.09523810	-35.68403680
0.10256410	-39.53692502
0.10989011	-35.97347291
0.11721612	-38.77923467
0.12454213	-49.42393587
0.13186813	-41.56068417
0.13919414	-41.08524156
0.14652015	-41.91909195
0.15384616	-40.77660158
0.16117216	-37.18427374
0.16849817	-37.63016859
0.17582418	-37.38644400
0.18315018	-32.34819176
0.19047619	-29.31899748
0.19780220	-27.98119025
0.20512821	-29.69065653
0.21245421	-34.00647505
0.21978022	-26.20328257
0.22710623	-22.81723139
0.23443224	-23.57455967
0.24175824	-26.72452291
0.24908425	-26.66748508
0.25641026	-23.57518461
0.26373627	-20.69398343
0.27106227	-19.83171046
0.27838828	-21.92971219
0.28571429	-23.29555759
0.29304030	-18.36387682
0.30036630	-15.68037502
0.30769231	-16.12655368
0.31501832	-18.98738665
0.32234432	-18.15108161
0.32967033	-14.63438028
0.33699634	-12.87452076
0.34432235	-12.80844175
0.35164835	-14.34386035
0.35897436	-14.88760110
0.36630037	-12.01648476
0.37362638	-10.17257204
0.38095238	-10.52016711
0.38827839	-12.69970534
0.39560440	-13.78371883
0.40293041	-10.90422004
0.41025641	-8.84664372
0.41758242	-9.14044655
0.42490843	-11.32863278
0.43223444	-11.53817186
0.43956044	-8.48550501
0.44688645	-6.47028728
0.45421246	-6.56267403
0.46153847	-8.83449302
0.46886447	-9.20889893
0.47619048	-5.82008862
0.48351649	-4.34660143
0.49084249	-5.46152379
0.49816850	-8.24506537
0.50549451	-7.62902524
0.51282052	-4.77816692
0.52014652	-3.82143813
0.52747253	-5.11532473
0.53479854	-7.40290502
0.54212455	-5.92494805
0.54945055	-3.29957740
0.55677656	-2.62854743
0.56410257	-4.05030567
0.57142858	-5.77574523
0.57875458	-3.74391324
0.58608059	-1.52717463
0.59340660	-1.44158138
0.60073261	-3.35291966
0.60805861	-4.60828971
0.61538462	-2.52940353
0.62271063	-1.02828282
0.63003664	-1.57262716
0.63736264	-3.85527183
0.64468865	-4.37900545
0.65201466	-1.93108069
0.65934066	-0.83458982
0.66666667	-1.92210486
0.67399268	-3.94204526
0.68131869	-2.78529327
0.68864469	-0.56362750
0.69597070	-0.21884749
0.70329671	-1.87375936
0.71062272	-3.17937757
0.71794872	-1.30809096
0.72527473	0.00000000
0.73260074	-0.80453120
0.73992675	-2.99482512
0.74725275	-3.11082888
0.75457876	-1.38506751
0.76190477	-1.03626075
0.76923078	-2.49749358
0.77655678	-3.82782020
0.78388279	-2.25727835
0.79120880	-0.85391284
0.79853480	-1.35380069
0.80586081	-2.97502926
0.81318682	-2.57456430
0.82051283	-0.91663173
0.82783883	-0.74125018
0.83516484	-2.20399956
0.84249085	-3.10889653
0.84981686	-1.83480169
0.85714286	-1.17877287
0.86446887	-2.24229874
0.87179488	-3.71935993
0.87912089	-3.14841402
0.88644689	-2.28637912
0.89377290	-2.90190740
0.90109891	-4.32688825
0.90842492	-4.15957434
0.91575092	-3.05119067
0.92307693	-3.10079978
0.93040294	-4.18016402
0.93772895	-4.31741842
0.94505495	-3.36819342
0.95238096	-3.29967820
0.95970697	-4.33942035
0.96703297	-4.98458291
0.97435898	-4.62582503
0.98168499	-4.79502170
0.98901100	-5.96363246
0.99633700	-6.82309205
1.00366301	-6.41211526
1.01098902	-6.20886644
1.01831503	-6.87738860
1.02564103	-7.21000830
1.03296704	-6.49660403
1.04029305	-6.16798158
1.04761906	-6.68408396
1.05494506	-6.92872644
1.06227107	-6.47643602
1.06959708	-6.45641510
1.07692309	-7.10832193
1.08424909	-7.54026721
1.09157510	-7.60202698
1.09890111	-8.13904891
1.10622712	-8.92647785
1.11355312	-8.94073005
1.12087913	-8.80945626
1.12820514	-9.37741500
1.13553114	-9.87719872
1.14285715	-9.65626708
1.15018316	-9.70618137
1.15750917	-10.29846562
1.16483517	-10.43367038
1.17216118	-10.01122091
1.17948719	-9.92823857
1.18681320	-10.21234840
1.19413920	-10.44545239
1.20146521	-10.77960109
1.20879122	-11.43811615
1.21611723	-12.11762595
1.22344323	-12.66649729
1.23076924	-13.36497642
1.23809525	-14.10524764
1.24542126	-14.53624347
1.25274726	-14.87492664
1.26007327	-15.33676902
1.26739928	-15.65390953
1.27472528	-15.81437884
1.28205129	-16.13612736
1.28937730	-16.58888540
1.29670331	-16.99726574
1.30402931	-17.49724751
1.31135532	-18.20021723
1.31868133	-18.91084669
1.32600734	-19.52285259
1.33333334	-20.23804541
1.34065935	-21.11688466
1.34798536	-21.92170944
1.35531137	-22.61516299
1.36263737	-23.43128917
1.36996338	-24.32429143
1.37728939	-25.07450026
1.38461540	-25.82137302
1.39194140	-26.78184497
1.39926741	-27.79684399
1.40659342	-28.54168115
1.41391943	-28.95438756
1.42124543	-29.22879544
1.42857144	-29.56312838
1.43589745	-30.15426031
1.44322345	-31.28030930
1.45054946	-33.14915691
1.45787547	-35.70141097
1.46520148	-38.53646396
1.47252748	-40.45039241
1.47985349	-40.22140063
1.48717950	-39.34872490
1.49450551	-39.03273754
1.50183151	-39.62571078
1.50915752	-41.86782964
1.51648353	-47.47356424
1.52380954	-58.05131855
1.53113554	-47.81982983
1.53846155	-44.38513202
1.54578756	-44.32560650
1.55311357	-47.44901330
1.56043957	-53.71631648
1.56776558	-50.98073080
1.57509159	-48.15608773
1.58241760	-48.09728175
1.58974360	-49.29647224
1.59706961	-50.24947247
1.60439562	-49.83758860
1.61172162	-49.44594590
1.61904763	-49.93370819
1.62637364	-50.24232948
1.63369965	-49.93246397
1.64102565	-49.80647010
1.64835166	-49.87411302
1.65567767	-49.99087249
1.66300368	-50.18789357
1.67032968	-50.37381875
1.67765569	-50.44421232
1.68498170	-50.36322250
1.69230771	-50.48258319
1.69963371	-50.81456180
1.70695972	-50.81760763
1.71428573	-50.91584508
1.72161174	-51.41403118
1.72893774	-51.53527531
1.73626375	-51.53292129
1.74358976	-51.89261901
