# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T14:39:58
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-14.44410665
0.00732601	-17.18234636
0.01465201	-28.05332643
0.02197802	-29.76213092
0.02930403	-31.44510690
0.03663004	-45.91829482
0.04395604	-31.48911796
0.05128205	-31.93912393
0.05860806	-47.63575779
0.06593407	-33.59322790
0.07326007	-35.49091309
0.08058608	-39.26401446
0.08791209	-34.86675880
0.09523810	-39.03299252
0.10256410	-45.58978722
0.10989011	-37.42985735
0.11721612	-41.57815726
0.12454213	-42.85924412
0.13186813	-44.17531404
0.13919414	-40.09277004
0.14652015	-39.25426402
0.15384616	-37.26093678
0.16117216	-32.80332528
0.16849817	-34.11260576
0.17582418	-33.78440569
0.18315018	-29.71713756
0.19047619	-27.48947899
0.19780220	-25.42331457
0.20512821	-26.53685223
0.21245421	-32.33370685
0.21978022	-23.70959551
0.22710623	-20.38836097
0.23443224	-21.38900119
0.24175824	-24.24364640
0.24908425	-24.72490860
0.25641026	-22.04487653
0.26373627	-18.80710074
0.27106227	-18.09914997
0.27838828	-20.50616844
0.28571429	-21.75172327
0.29304030	-17.14124236
0.30036630	-14.39640557
0.30769231	-14.55137461
0.31501832	-17.27730889
0.32234432	-16.82754108
0.32967033	-13.28223923
0.33699634	-11.49846017
0.34432235	-11.35582933
0.35164835	-12.86020015
0.35897436	-13.66168558
0.36630037	-10.75568975
0.37362638	-8.85019388
0.38095238	-9.16502725
0.38827839	-11.19714066
0.39560440	-12.43061810
0.40293041	-9.81700445
0.41025641	-7.68401818
0.41758242	-7.95060785
0.42490843	-10.30560926
0.43223444	-10.77921238
0.43956044	-7.65399036
0.44688645	-5.56780472
0.45421246	-5.68149756
0.46153847	-8.16501910
0.46886447	-8.74544002
0.47619048	-5.21860767
0.48351649	-3.70885747
0.49084249	-4.80862404
0.49816850	-7.72852120
0.50549451	-7.30135055
0.51282052	-4.29505860
0.52014652	-3.27116119
0.52747253	-4.57358890
0.53479854	-7.00427822
0.54212455	-5.67401605
0.54945055	-2.94198181
0.55677656	-2.17215150
0.56410257	-3.56771646
0.57142858	-5.40214339
0.57875458	-3.43434757
0.58608059	-1.15903493
0.59340660	-1.00810160
0.60073261	-2.95715123
0.60805861	-4.47295725
0.61538462	-2.34375323
0.62271063	-0.77177012
0.63003663	-1.33809855
0.63736264	-3.64185881
0.64468865	-4.15383737
0.65201466	-1.74490964
0.65934066	-0.65860610
0.66666667	-1.73798611
0.67399268	-3.80316898
0.68131869	-2.76541282
0.68864469	-0.54469717
0.69597070	-0.13486203
0.70329671	-1.68186838
0.71062272	-3.03292214
0.71794872	-1.33032937
0.72527473	0.00000000
0.73260074	-0.70990826
0.73992675	-2.88706242
0.74725275	-3.27591477
0.75457876	-1.61341358
0.76190477	-1.20834104
0.76923078	-2.65345393
0.77655678	-4.13882840
0.78388279	-2.66276954
0.79120880	-1.16574550
0.79853480	-1.55575740
0.80586081	-3.23834662
0.81318682	-3.03766738
0.82051283	-1.28403498
0.82783883	-0.99848886
0.83516484	-2.45466305
0.84249085	-3.45249932
0.84981686	-2.19238792
0.85714286	-1.49768643
0.86446887	-2.50622789
0.87179488	-3.98311007
0.87912089	-3.51513559
0.88644689	-2.68436440
0.89377290	-3.29694350
0.90109891	-4.76185366
0.90842492	-4.69924114
0.91575092	-3.60743772
0.92307693	-3.57306107
0.93040294	-4.57922213
0.93772895	-4.87322925
0.94505495	-4.03252518
0.95238096	-3.89643707
0.95970697	-4.89779781
0.96703297	-5.69609850
0.97435898	-5.44771843
0.98168499	-5.57296835
0.98901100	-6.66967675
0.99633700	-7.59431050
1.00366301	-7.31805414
1.01098902	-7.10842584
1.01831503	-7.73855996
1.02564103	-8.17583412
1.03296704	-7.54946070
1.04029305	-7.18596162
1.04761906	-7.67579652
1.05494506	-7.95498880
1.06227107	-7.51431125
1.06959708	-7.46096303
1.07692309	-8.08972915
1.08424909	-8.56737762
1.09157510	-8.67522631
1.09890111	-9.20777373
1.10622711	-10.05332996
1.11355312	-10.17183523
1.12087913	-10.00508716
1.12820514	-10.50910791
1.13553114	-11.04590064
1.14285715	-10.82310720
1.15018316	-10.83693824
1.15750917	-11.51977577
1.16483517	-11.75701599
1.17216118	-11.28902536
1.17948719	-11.20149948
1.18681320	-11.52601203
1.19413920	-11.69884582
1.20146521	-11.97553169
1.20879122	-12.70337625
1.21611723	-13.44888700
1.22344323	-13.98688716
1.23076924	-14.74614815
1.23809525	-15.56755360
1.24542126	-15.94962067
1.25274726	-16.27744405
1.26007327	-16.83121128
1.26739928	-17.13904154
1.27472528	-17.21174184
1.28205129	-17.53291530
1.28937730	-18.01574003
1.29670331	-18.41680276
1.30402931	-18.93644138
1.31135532	-19.67416530
1.31868133	-20.36511758
1.32600734	-20.96225131
1.33333334	-21.71069187
1.34065935	-22.56281331
1.34798536	-23.27227763
1.35531137	-23.97488988
1.36263737	-24.87480116
1.36996338	-25.73713166
1.37728939	-26.41821666
1.38461540	-27.22241940
1.39194140	-28.24144451
1.39926741	-29.20313646
1.40659342	-29.95626571
1.41391942	-30.53542440
1.42124543	-30.90516367
1.42857144	-31.10917445
1.43589745	-31.53933880
1.44322345	-32.65138544
1.45054946	-34.50398220
1.45787547	-36.79578126
1.46520148	-39.37475089
1.47252748	-41.70941697
1.47985349	-42.23544730
1.48717950	-41.46936790
1.49450551	-40.79704079
1.50183151	-41.10887886
1.50915752	-43.24433943
1.51648353	-48.23170798
1.52380954	-59.62766786
1.53113554	-51.40634593
1.53846155	-46.47846003
1.54578756	-45.86755658
1.55311357	-48.92395197
1.56043957	-55.89292161
1.56776558	-53.99563789
1.57509159	-50.60962873
1.58241759	-49.98488987
1.58974360	-51.31335727
1.59706961	-52.73488187
1.60439562	-51.78506106
1.61172162	-51.37405005
1.61904763	-52.18142887
1.62637364	-52.23286151
1.63369965	-51.85273586
1.64102565	-52.30839297
1.64835166	-52.76117580
1.65567767	-52.49084922
1.66300368	-52.57451114
1.67032968	-53.01355146
1.67765569	-52.76007030
1.68498170	-52.69079024
1.69230771	-53.50198793
1.69963371	-53.83489317
1.70695972	-53.54997017
1.71428573	-53.70185025
1.72161174	-53.73471183
1.72893774	-53.75886786
1.73626375	-54.15858817
1.74358976	-54.32805894
1.75091576	-54.56584649
1.75824177	-54.87155655
1.76556778	-54.59416109
1.77289379	-54.68863456
1.78021979	-55.21479963
1.78754580	-55.21611721
1.79487181	-55.35681782
1.80219782	-55.65014266
1.80952382	-55.64324171
1.81684983	-56.08936074
1.82417584	-56.56627907
1.83150185	-56.50181979
1.83882785	-56.73454153
1.84615386	-56.83599117
1.85347987	-56.71981047
1.86080588	-57.48698604
1.86813188	-58.31552741
1.87545789	-58.35416873
1.88278390	-58.92966922
1.89010990	-59.50806439
1.89743591	-59.29570982
1.90476192	-59.64511174
1.91208793	-60.46707745
1.91941393	-60.55973900
1.92673994	-60.78814421
1.93406595	-61.38075088
1.94139196	-61.60993185
1.94871796	-62.06636947
1.95604397	-62.82761096
1.96336998	-62.29702329
1.97069599	-61.35330207
1.97802199	-61.84556269
1.98534800	-62.94169710
1.99267401	-63.29862299
2.00000002	-64.37034309
2.00732602	-66.39862085
2.01465203	-66.60782515
2.02197804	-65.47971171
2.02930405	-65.36668663
2.03663005	-65.56043970
2.04395606	-65.37242836
2.05128207	-65.29660483
2.05860807	-65.03346466
2.06593408	-65.37680575
2.07326009	-66.76858420
2.08058610	-66.79595200
2.08791210	-65.78511680
2.09523811	-66.30693732
2.10256412	-66.76592511
2.10989013	-65.31087866
2.11721613	-64.94443499
2.12454214	-66.58527103
2.13186815	-67.28676950
2.13919416	-65.28091154
2.14652016	-64.47859051
2.15384617	-65.43963283
2.16117218	-66.19060311
2.16849819	-65.66871308
2.17582419	-65.68777240
2.18315020	-66.30948450
2.19047621	-66.39343321
2.19780221	-66.76000942
2.20512822	-67.64775332
2.21245423	-67.94368736
2.21978024	-68.31959486
2.22710624	-69.05554917
2.23443225	-69.16204237
2.24175826	-69.06995011
2.24908427	-69.45204357
2.25641027	-70.25746607
2.26373628	-72.02332793
2.27106229	-73.33696105
2.27838830	-72.94153521
2.28571430	-73.22278715
2.29304031	-75.29858434
2.30036632	-77.81039373
2.30769233	-77.52726699
2.31501833	-78.12579927
2.32234434	-81.21697148
2.32967035	-84.84330939
2.33699636	-83.17326067
2.34432236	-77.28914949
2.35164837	-74.49996402
2.35897438	-75.73219426
2.36630038	-77.01441078
2.37362639	-73.93749998
2.38095240	-73.76577573
2.38827841	-76.13613548
2.39560441	-76.23590089
2.40293042	-73.58968737
2.41025643	-71.94638394
2.41758244	-73.31888156
2.42490844	-77.62379107
2.43223445	-75.34139257
2.43956046	-74.34180068
2.44688647	-76.50049384
2.45421247	-75.80487650
2.46153848	-73.46890158
2.46886449	-74.13306772
2.47619050	-76.87732164
2.48351650	-75.48307238
2.49084251	-76.13605212
2.49816852	-81.38324710
2.50549453	-80.51379376
2.51282053	-79.35033535
2.52014654	-81.95096488
2.52747255	-82.09924242
2.53479855	-79.77764484
2.54212456	-78.45927924
2.54945057	-77.58284102
