# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 2000 waveforms. Timestamp: 2023-11-21T14:28:46
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-710.08260356	0.00000000
-710.04927036	0.00000029
-710.01593715	0.00000174
-709.98260394	0.00000461
-709.94927073	0.00000851
-709.91593753	0.00001324
-709.88260432	0.00001656
-709.84927111	0.00001921
-709.81593790	0.00001954
-709.78260470	0.00001940
-709.74927149	0.00001741
-709.71593828	0.00001343
-709.68260507	0.00000516
-709.64927186	0.00000058
-709.61593866	-0.00000836
-709.58260545	-0.00001258
-709.54927224	-0.00001730
-709.51593903	-0.00000922
-709.48260583	-0.00000625
-709.44927262	-0.00000064
-709.41593941	0.00000182
-709.38260620	-0.00000634
-709.34927300	-0.00000600
-709.31593979	-0.00003893
-709.28260658	-0.00007939
-709.24927337	-0.00015737
-709.21594017	-0.00030169
-709.18260696	-0.00048879
-709.14927375	-0.00071972
-709.11594054	-0.00104642
-709.08260734	-0.00141898
-709.04927413	-0.00185583
-709.01594092	-0.00232657
-708.98260771	-0.00280292
-708.94927451	-0.00325603
-708.91594130	-0.00360747
-708.88260809	-0.00385032
-708.84927488	-0.00396113
-708.81594167	-0.00390354
-708.78260847	-0.00370856
-708.74927526	-0.00338380
-708.71594205	-0.00294823
-708.68260884	-0.00246450
-708.64927564	-0.00194878
-708.61594243	-0.00145927
-708.58260922	-0.00098872
-708.54927601	-0.00059191
-708.51594281	-0.00029837
-708.48260960	-0.00002232
-708.44927639	0.00015503
-708.41594318	0.00024034
-708.38260998	0.00025465
-708.34927677	0.00016998
-708.31594356	0.00006409
-708.28261035	-0.00019569
-708.24927715	-0.00039783
-708.21594394	-0.00063238
-708.18261073	-0.00083149
-708.14927752	-0.00111948
-708.11594431	-0.00127504
-708.08261111	-0.00143441
-708.04927790	-0.00161085
-708.01594469	-0.00175574
-707.98261148	-0.00196009
-707.94927828	-0.00211041
-707.91594507	-0.00234524
-707.88261186	-0.00252235
-707.84927865	-0.00268008
-707.81594545	-0.00291551
-707.78261224	-0.00316446
-707.74927903	-0.00330724
-707.71594582	-0.00350884
-707.68261262	-0.00371387
-707.64927941	-0.00387594
-707.61594620	-0.00402292
-707.58261299	-0.00407459
-707.54927979	-0.00402251
-707.51594658	-0.00401297
-707.48261337	-0.00389925
-707.44928016	-0.00378330
-707.41594696	-0.00364832
-707.38261375	-0.00358587
-707.34928054	-0.00359756
-707.31594733	-0.00356502
-707.28261412	-0.00352897
-707.24928092	-0.00360083
-707.21594771	-0.00367800
-707.18261450	-0.00386796
-707.14928129	-0.00408607
-707.11594809	-0.00435458
-707.08261488	-0.00455864
-707.04928167	-0.00483105
-707.01594846	-0.00504644
-706.98261526	-0.00525416
-706.94928205	-0.00549161
-706.91594884	-0.00560918
-706.88261563	-0.00579223
-706.84928243	-0.00602515
-706.81594922	-0.00618964
-706.78261601	-0.00616449
-706.74928280	-0.00623215
-706.71594960	-0.00611890
-706.68261639	-0.00610102
-706.64928318	-0.00611981
-706.61594997	-0.00613203
-706.58261677	-0.00606089
-706.54928356	-0.00611561
-706.51595035	-0.00608622
-706.48261714	-0.00589874
-706.44928393	-0.00585616
-706.41595073	-0.00581876
-706.38261752	-0.00573670
-706.34928431	-0.00570721
-706.31595110	-0.00559168
-706.28261790	-0.00546078
-706.24928469	-0.00535268
-706.21595148	-0.00528912
-706.18261827	-0.00528686
-706.14928507	-0.00504151
-706.11595186	-0.00503273
-706.08261865	-0.00505213
-706.04928544	-0.00497982
-706.01595224	-0.00491561
-705.98261903	-0.00494732
-705.94928582	-0.00493997
-705.91595261	-0.00480770
-705.88261941	-0.00477086
-705.84928620	-0.00461378
-705.81595299	-0.00448838
-705.78261978	-0.00442977
-705.74928657	-0.00434962
-705.71595337	-0.00414650
-705.68262016	-0.00386044
-705.64928695	-0.00374690
-705.61595374	-0.00351555
-705.58262054	-0.00337225
-705.54928733	-0.00306409
-705.51595412	-0.00287019
-705.48262091	-0.00270043
-705.44928771	-0.00252650
-705.41595450	-0.00234311
-705.38262129	-0.00225848
-705.34928808	-0.00218179
-705.31595488	-0.00212550
-705.28262167	-0.00218280
-705.24928846	-0.00218519
-705.21595525	-0.00243048
-705.18262205	-0.00254789
-705.14928884	-0.00273712
-705.11595563	-0.00281186
-705.08262242	-0.00311941
-705.04928922	-0.00328052
-705.01595601	-0.00351367
-704.98262280	-0.00366670
-704.94928959	-0.00372482
-704.91595638	-0.00364741
-704.88262318	-0.00354899
-704.84928997	-0.00331704
-704.81595676	-0.00292396
-704.78262355	-0.00270304
-704.74929035	-0.00250328
-704.71595714	-0.00236059
-704.68262393	-0.00264649
-704.64929072	-0.00314616
-704.61595752	-0.00422510
-704.58262431	-0.00589662
-704.54929110	-0.00821908
-704.51595789	-0.01136998
-704.48262469	-0.01503101
-704.44929148	-0.01942679
-704.41595827	-0.02426795
-704.38262506	-0.02929514
-704.34929186	-0.03403567
-704.31595865	-0.03836462
-704.28262544	-0.04133491
-704.24929223	-0.04261650
-704.21595903	-0.04194166
-704.18262582	-0.03887632
-704.14929261	-0.03346689
-704.11595940	-0.02611445
-704.08262619	-0.01726682
-704.04929299	-0.00765476
-704.01595978	0.00183235
-703.98262657	0.01029330
-703.94929336	0.01704627
-703.91596016	0.02169773
-703.88262695	0.02419524
-703.84929374	0.02464936
-703.81596053	0.02336578
-703.78262733	0.02069306
-703.74929412	0.01716879
-703.71596091	0.01316864
-703.68262770	0.00888455
-703.64929450	0.00462137
-703.61596129	0.00069568
-703.58262808	-0.00283845
-703.54929487	-0.00542606
-703.51596167	-0.00723313
-703.48262846	-0.00809695
-703.44929525	-0.00823991
-703.41596204	-0.00773704
-703.38262883	-0.00680062
-703.34929563	-0.00551847
-703.31596242	-0.00391650
-703.28262921	-0.00199414
-703.24929600	0.00012917
-703.21596280	0.00228317
-703.18262959	0.00443779
-703.14929638	0.00637577
-703.11596317	0.00818260
-703.08262997	0.00971439
-703.04929676	0.01112624
-703.01596355	0.01253580
-702.98263034	0.01387853
-702.94929714	0.01549923
-702.91596393	0.01727632
-702.88263072	0.01940165
-702.84929751	0.02181927
-702.81596431	0.02463504
-702.78263110	0.02781542
-702.74929789	0.03157252
-702.71596468	0.03551360
-702.68263148	0.04014459
-702.64929827	0.04508230
-702.61596506	0.05037831
-702.58263185	0.05611888
-702.54929864	0.06223583
-702.51596544	0.06874511
-702.48263223	0.07543689
-702.44929902	0.08272453
-702.41596581	0.09021243
-702.38263261	0.09839303
-702.34929940	0.10676635
-702.31596619	0.11591409
-702.28263298	0.12546306
-702.24929978	0.13566144
-702.21596657	0.14667627
-702.18263336	0.15832843
-702.14930015	0.17091333
-702.11596695	0.18446968
-702.08263374	0.19898146
-702.04930053	0.21456783
-702.01596732	0.23132159
-701.98263412	0.24939934
-701.94930091	0.26893535
-701.91596770	0.28990868
-701.88263449	0.31242906
-701.84930128	0.33669497
-701.81596808	0.36302269
-701.78263487	0.39085467
-701.74930166	0.42052826
-701.71596845	0.45186140
-701.68263525	0.48466396
-701.64930204	0.51834860
-701.61596883	0.55209811
-701.58263562	0.58520850
-701.54930242	0.61615672
-701.51596921	0.64286990
-701.48263600	0.66277110
-701.44930279	0.67236946
-701.41596959	0.66706796
-701.38263638	0.64104581
-701.34930317	0.58723009
-701.31596996	0.49689136
-701.28263676	0.36019339
-701.24930355	0.16631355
-701.21597034	-0.09626680
-701.18263713	-0.43840199
-701.14930393	-0.86833897
-701.11597072	-1.39104166
-701.08263751	-2.00529674
-701.04930430	-2.70350637
-701.01597109	-3.46876127
-700.98263789	-4.27400388
-700.94930468	-5.07716571
-700.91597147	-5.81781803
-700.88263826	-6.41740986
-700.84930506	-6.79086403
-700.81597185	-6.86116200
-700.78263864	-6.57840354
-700.74930543	-5.93320152
-700.71597223	-4.96291668
-700.68263902	-3.74825565
-700.64930581	-2.39819825
-700.61597260	-1.03170151
-700.58263940	0.24803863
-700.54930619	1.36682555
-700.51597298	2.28421066
-700.48263977	2.98573877
-700.44930657	3.47433147
-700.41597336	3.76288509
-700.38264015	3.87003786
-700.34930694	3.81597325
-700.31597374	3.62226999
-700.28264053	3.31309852
-700.24930732	2.92012776
-700.21597411	2.48055495
-700.18264090	2.03355493
-700.14930770	1.61317594
-700.11597449	1.24179495
-700.08264128	0.92807406
-700.04930807	0.66904861
-700.01597487	0.45739288
-699.98264166	0.28813057
-699.94930845	0.16105696
-699.91597524	0.07914622
-699.88264204	0.04333011
-699.84930883	0.04735674
-699.81597562	0.07685878
-699.78264241	0.11378346
-699.74930921	0.14268962
-699.71597600	0.15465780
-699.68264279	0.14824477
-699.64930958	0.12699593
-699.61597638	0.09537339
-699.58264317	0.05713143
-699.54930996	0.01555594
-699.51597675	-0.02656781
-699.48264354	-0.06560715
-699.44931034	-0.09794287
-699.41597713	-0.12056155
-699.38264392	-0.13170334
-699.34931071	-0.13054705
-699.31597751	-0.11713613
-699.28264430	-0.09296323
-699.24931109	-0.06122146
-699.21597788	-0.02603967
-699.18264468	0.00791343
-699.14931147	0.03701526
-699.11597826	0.05923199
-699.08264505	0.07314530
-699.04931185	0.07841474
-699.01597864	0.07514438
