# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:39:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-710.08286712	0.00000000
-710.04953379	-0.00000027
-710.01620045	-0.00000110
-709.98286712	-0.00000241
-709.94953379	-0.00000431
-709.91620046	-0.00000651
-709.88286712	-0.00000908
-709.84953379	-0.00001126
-709.81620046	-0.00001467
-709.78286712	-0.00001762
-709.74953379	-0.00002074
-709.71620046	-0.00002016
-709.68286712	-0.00002298
-709.64953379	-0.00002129
-709.61620046	-0.00002036
-709.58286712	-0.00001979
-709.54953379	-0.00001348
-709.51620046	-0.00000503
-709.48286713	0.00000443
-709.44953379	0.00001725
-709.41620046	0.00003953
-709.38286713	0.00006361
-709.34953379	0.00008774
-709.31620046	0.00012147
-709.28286713	0.00017265
-709.24953379	0.00021360
-709.21620046	0.00026959
-709.18286713	0.00033430
-709.14953379	0.00040319
-709.11620046	0.00049451
-709.08286713	0.00056244
-709.04953380	0.00065784
-709.01620046	0.00072650
-708.98286713	0.00079953
-708.94953380	0.00083552
-708.91620046	0.00083833
-708.88286713	0.00080166
-708.84953380	0.00065837
-708.81620046	0.00043063
-708.78286713	0.00007744
-708.74953380	-0.00041318
-708.71620047	-0.00114008
-708.68286713	-0.00207614
-708.64953380	-0.00320804
-708.61620047	-0.00462796
-708.58286713	-0.00624694
-708.54953380	-0.00804793
-708.51620047	-0.00995814
-708.48286713	-0.01188349
-708.44953380	-0.01369062
-708.41620047	-0.01526887
-708.38286713	-0.01639695
-708.34953380	-0.01697633
-708.31620047	-0.01688041
-708.28286714	-0.01598721
-708.24953380	-0.01434628
-708.21620047	-0.01195959
-708.18286714	-0.00898022
-708.14953380	-0.00555014
-708.11620047	-0.00184784
-708.08286714	0.00191086
-708.04953380	0.00562080
-708.01620047	0.00902675
-707.98286714	0.01203274
-707.94953380	0.01454500
-707.91620047	0.01624122
-707.88286714	0.01707660
-707.84953381	0.01693664
-707.81620047	0.01585900
-707.78286714	0.01380679
-707.74953381	0.01114007
-707.71620047	0.00820287
-707.68286714	0.00513254
-707.64953381	0.00237490
-707.61620047	-0.00009451
-707.58286714	-0.00212127
-707.54953381	-0.00363867
-707.51620047	-0.00461888
-707.48286714	-0.00493031
-707.44953381	-0.00464453
-707.41620048	-0.00387276
-707.38286714	-0.00266842
-707.34953381	-0.00139049
-707.31620048	-0.00021508
-707.28286714	0.00068062
-707.24953381	0.00127537
-707.21620048	0.00145545
-707.18286714	0.00153106
-707.14953381	0.00129819
-707.11620048	0.00102136
-707.08286714	0.00052333
-707.04953381	-0.00016587
-707.01620048	-0.00082774
-706.98286715	-0.00166096
-706.94953381	-0.00236482
-706.91620048	-0.00293877
-706.88286715	-0.00342707
-706.84953381	-0.00367753
-706.81620048	-0.00378818
-706.78286715	-0.00381792
-706.74953381	-0.00368757
-706.71620048	-0.00354555
-706.68286715	-0.00335745
