# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:39:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-16.14905760
0.00732601	-17.91907140
0.01465201	-19.13207243
0.02197802	-18.60700047
0.02930403	-19.80179530
0.03663004	-19.36124321
0.04395604	-20.46934890
0.05128205	-20.56016251
0.05860806	-19.04883124
0.06593407	-21.07017779
0.07326007	-19.41489996
0.08058608	-18.40692968
0.08791209	-19.77191033
0.09523810	-16.40699870
0.10256410	-16.40303534
0.10989011	-19.23237060
0.11721612	-16.76175190
0.12454213	-16.74259245
0.13186813	-17.65803443
0.13919414	-15.84058592
0.14652015	-15.53661908
0.15384616	-15.10811321
0.16117216	-13.13807689
0.16849817	-11.12375977
0.17582418	-10.92794114
0.18315018	-12.59470813
0.19047619	-12.45038514
0.19780220	-11.83766620
0.20512821	-13.01593363
0.21245421	-13.18551852
0.21978022	-11.93485284
0.22710623	-10.91947605
0.23443224	-10.39160884
0.24175824	-8.93341898
0.24908425	-7.30055907
0.25641026	-7.45585426
0.26373627	-8.36522659
0.27106227	-8.60305525
0.27838828	-9.82287511
0.28571429	-10.90995476
0.29304030	-10.34611598
0.30036630	-10.08237707
0.30769231	-9.67469728
0.31501832	-8.81185835
0.32234432	-6.76986106
0.32967033	-4.98438286
0.33699634	-4.44990300
0.34432235	-4.48848721
0.35164835	-5.08408772
0.35897436	-6.45408214
0.36630037	-7.32493551
0.37362638	-7.65852311
0.38095238	-7.89911483
0.38827839	-7.35031697
0.39560440	-6.76289037
0.40293041	-5.95238732
0.41025641	-4.42281597
0.41758242	-3.10050757
0.42490843	-2.74937858
0.43223444	-3.39703331
0.43956044	-4.58664397
0.44688645	-5.53073285
0.45421246	-5.82651144
0.46153847	-6.19821377
0.46886447	-6.22744314
0.47619048	-5.40150252
0.48351649	-4.68825350
0.49084249	-3.51160917
0.49816850	-2.16696979
0.50549451	-1.49221048
0.51282052	-1.63604629
0.52014652	-2.95162207
0.52747253	-4.57478324
0.53479854	-5.07379258
0.54212455	-5.90604032
0.54945055	-6.00674962
0.55677656	-5.55418428
0.56410257	-5.10060660
0.57142858	-3.35264757
0.57875458	-1.98615637
0.58608059	-0.71562967
0.59340660	0.00000000
0.60073261	-0.92818130
0.60805861	-2.41707964
0.61538462	-3.41637176
0.62271063	-4.78254323
0.63003664	-4.98802973
0.63736264	-5.11613534
0.64468865	-5.07654521
0.65201466	-3.79927229
0.65934066	-2.75527377
0.66666667	-1.19246320
0.67399268	-0.07555999
0.68131869	-0.31215833
0.68864469	-1.36971820
0.69597070	-2.64063559
0.70329671	-3.66205834
0.71062272	-4.23642363
0.71794872	-4.57885788
0.72527473	-4.47910006
0.73260074	-4.01608926
0.73992675	-3.19742463
0.74725275	-2.17866121
0.75457876	-1.11602645
0.76190477	-0.74403160
0.76923078	-1.66106255
0.77655678	-3.05973057
0.78388279	-4.12536511
0.79120880	-5.02700127
0.79853480	-5.21375903
0.80586081	-5.26053755
0.81318682	-4.64365298
0.82051283	-3.70248806
0.82783883	-2.63334894
0.83516484	-0.93296061
0.84249085	-0.04152387
0.84981686	-0.37808872
0.85714286	-1.56836162
0.86446887	-3.29180053
0.87179488	-4.46339801
0.87912089	-5.30275922
0.88644689	-5.89836150
0.89377290	-5.49026720
0.90109891	-5.25688862
0.90842492	-4.10097935
0.91575092	-2.54306883
0.92307693	-1.24274188
0.93040294	-0.46778974
0.93772895	-1.10666008
0.94505495	-2.60766114
0.95238096	-3.72436547
0.95970697	-4.95401257
0.96703297	-5.53695194
0.97435898	-5.80741037
0.98168499	-6.07121635
0.98901100	-5.41062148
0.99633700	-4.66437931
1.00366301	-3.32783559
1.01098902	-2.36537297
1.01831503	-2.52068757
1.02564103	-3.40352387
1.03296704	-4.85109276
1.04029305	-5.82928716
1.04761906	-6.22639525
1.05494506	-6.70780975
1.06227107	-6.25742576
1.06959708	-5.91567504
1.07692309	-5.05843801
1.08424909	-3.67764421
1.09157510	-3.04584674
1.09890111	-2.91220306
1.10622712	-3.49159193
1.11355312	-5.06621849
1.12087913	-6.59289186
1.12820514	-7.44495444
1.13553114	-7.98152751
1.14285715	-8.16143376
1.15018316	-7.66496049
1.15750917	-7.05744172
1.16483517	-6.07567959
1.17216118	-3.96932312
1.17948719	-2.50624254
1.18681320	-2.50305504
1.19413920	-3.69038625
1.20146521	-5.51783682
1.20879122	-7.04501538
1.21611723	-8.06412453
1.22344323	-8.91266439
