# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 2000 waveforms. Timestamp: 2023-11-21T14:28:46
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-16.77240554
0.00732603	-15.33831888
0.01465207	-14.82970092
0.02197810	-14.98102471
0.02930414	-14.77222662
0.03663017	-14.84108832
0.04395621	-15.15242951
0.05128224	-15.21980958
0.05860828	-14.69060854
0.06593431	-15.92136421
0.07326035	-15.45974512
0.08058638	-14.84694253
0.08791242	-16.22174201
0.09523845	-13.75934928
0.10256449	-13.40786364
0.10989052	-14.92577267
0.11721656	-12.61291425
0.12454259	-12.22268621
0.13186863	-12.80805198
0.13919466	-11.50847330
0.14652070	-11.62468645
0.15384673	-11.86777295
0.16117277	-11.15746798
0.16849880	-10.24021076
0.17582484	-9.68439054
0.18315087	-10.43305573
0.19047691	-9.39392962
0.19780294	-8.06078114
0.20512898	-8.56986064
0.21245501	-8.64905553
0.21978105	-7.59139685
0.22710708	-7.16557454
0.23443312	-7.50823866
0.24175915	-7.28804933
0.24908519	-6.75604191
0.25641122	-7.13933563
0.26373726	-7.13391592
0.27106329	-6.28353401
0.27838933	-6.41320536
0.28571536	-6.76692749
0.29304140	-5.96690569
0.30036743	-5.58985523
0.30769347	-5.71883899
0.31501950	-5.43963077
0.32234554	-4.70648084
0.32967157	-4.21891623
0.33699761	-4.48638999
0.34432364	-4.19846072
0.35164968	-3.56467087
0.35897571	-3.69708153
0.36630175	-3.59940407
0.37362778	-3.41556343
0.38095382	-3.47691501
0.38827985	-3.16798041
0.39560589	-3.19106040
0.40293192	-3.37237388
0.41025796	-3.13946476
0.41758399	-3.04288637
0.42491003	-2.95401721
0.43223606	-2.67751892
0.43956210	-2.51496585
0.44688813	-2.29612026
0.45421417	-1.84008557
0.46154020	-1.80777567
0.46886624	-1.86272152
0.47619227	-1.49284380
0.48351831	-1.57727258
0.49084434	-1.64180180
0.49817038	-1.61870980
0.50549641	-1.86803428
0.51282245	-1.59514094
0.52014848	-1.71501118
0.52747452	-1.89417595
0.53480055	-1.50076332
0.54212659	-1.65835230
0.54945262	-1.60761880
0.55677866	-1.45742045
0.56410469	-1.48133369
0.57143073	-0.82223913
0.57875676	-0.68146209
0.58608280	-0.81242946
0.59340883	-0.36777645
0.60073487	-0.48183118
0.60806090	-0.51089726
0.61538694	-0.35665225
0.62271297	-0.83049391
0.63003901	-0.67682900
0.63736504	-0.75643374
0.64469108	-1.13126171
0.65201711	-0.64654786
0.65934315	-0.75618502
0.66666918	-0.66536942
0.67399522	-0.39015379
0.68132125	-0.51708339
0.68864729	-0.16693950
0.69597332	-0.16802158
0.70329936	-0.11592175
0.71062539	0.00000000
0.71795143	-0.22877082
0.72527746	-0.18978010
0.73260350	-0.42934583
0.73992953	-0.58520085
0.74725557	-0.87696717
0.75458160	-1.26305589
0.76190764	-1.09656804
0.76923367	-1.32440475
0.77655971	-1.17274422
0.78388574	-1.05897572
0.79121178	-1.08465521
0.79853781	-0.77219695
0.80586385	-0.85238075
0.81318988	-0.53991109
0.82051592	-0.44918388
0.82784195	-0.55528950
0.83516799	-0.27061578
0.84249402	-0.47996570
0.84982006	-0.58742061
0.85714609	-0.59737876
0.86447213	-0.88169511
0.87179816	-0.94534126
0.87912420	-1.13724248
0.88645023	-1.35085577
0.89377626	-1.22350919
0.90110230	-1.37407822
0.90842833	-1.37665536
0.91575437	-1.01526638
0.92308040	-1.17606147
0.93040644	-0.94261332
0.93773247	-0.79776800
0.94505851	-0.98111971
0.95238454	-0.70794460
0.95971058	-1.08138936
0.96703661	-1.15644202
0.97436265	-1.27785762
0.98168868	-2.01411469
0.98901472	-2.00613228
0.99634075	-2.48278881
1.00366679	-2.52975092
1.01099282	-2.56806677
1.01831886	-2.84805533
1.02564489	-2.32281857
