# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -720.00000000 ps, Average over 2000 waveforms. Timestamp: 2023-11-08T14:59:12
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-719.94927023	0.00000000
-719.91593703	-0.00000003
-719.88260382	-0.00000006
-719.84927061	-0.00000012
-719.81593740	-0.00000043
-719.78260420	-0.00000099
-719.74927099	-0.00000144
-719.71593778	-0.00000081
-719.68260457	-0.00000090
-719.64927137	-0.00000018
-719.61593816	-0.00000017
-719.58260495	0.00000144
-719.54927174	0.00000101
-719.51593854	-0.00000191
-719.48260533	0.00000031
-719.44927212	-0.00000015
-719.41593892	0.00000378
-719.38260571	0.00000294
-719.34927250	0.00000315
-719.31593929	0.00000030
-719.28260609	0.00001070
-719.24927288	0.00001280
-719.21593967	0.00001165
-719.18260646	0.00001351
-719.14927326	0.00000337
-719.11594005	0.00001029
-719.08260684	0.00000444
-719.04927363	0.00000677
-719.01594043	0.00001793
-718.98260722	0.00001806
-718.94927401	0.00002152
-718.91594081	0.00002653
-718.88260760	0.00003295
-718.84927439	0.00003790
-718.81594118	0.00001072
-718.78260798	0.00003320
-718.74927477	0.00004680
-718.71594156	0.00007351
-718.68260835	0.00006534
-718.64927515	0.00006205
-718.61594194	0.00008743
-718.58260873	0.00004804
-718.54927553	0.00008361
-718.51594232	0.00011726
-718.48260911	0.00009375
-718.44927590	0.00013429
-718.41594270	0.00014544
-718.38260949	0.00013868
-718.34927628	0.00012129
-718.31594307	0.00015696
-718.28260987	0.00013012
-718.24927666	0.00013973
-718.21594345	0.00013203
-718.18261024	0.00013379
-718.14927704	0.00013929
-718.11594383	0.00016692
-718.08261062	0.00014982
-718.04927742	0.00014739
-718.01594421	0.00018065
-717.98261100	0.00014343
-717.94927779	0.00019819
-717.91594459	0.00016971
-717.88261138	0.00013870
-717.84927817	0.00020111
-717.81594496	0.00021704
-717.78261176	0.00022235
-717.74927855	0.00022875
-717.71594534	0.00023687
-717.68261214	0.00027668
-717.64927893	0.00036429
-717.61594572	0.00034386
-717.58261251	0.00036473
-717.54927931	0.00042091
-717.51594610	0.00041924
-717.48261289	0.00040407
-717.44927968	0.00045953
-717.41594648	0.00052342
-717.38261327	0.00039261
-717.34928006	0.00043855
-717.31594685	0.00046624
-717.28261365	0.00038375
-717.24928044	0.00044748
-717.21594723	0.00041307
-717.18261403	0.00045352
-717.14928082	0.00046949
-717.11594761	0.00052472
-717.08261440	0.00048390
-717.04928120	0.00050659
-717.01594799	0.00047516
-716.98261478	0.00055117
-716.94928157	0.00046197
-716.91594837	0.00053450
-716.88261516	0.00050438
-716.84928195	0.00045924
-716.81594875	0.00039500
-716.78261554	0.00048449
-716.74928233	0.00048307
-716.71594912	0.00048850
-716.68261592	0.00037248
-716.64928271	0.00045086
-716.61594950	0.00042689
-716.58261629	0.00039549
-716.54928309	0.00034306
-716.51594988	0.00044934
-716.48261667	0.00048786
-716.44928346	0.00036738
-716.41595026	0.00031513
-716.38261705	0.00031967
-716.34928384	0.00032528
-716.31595064	0.00025322
-716.28261743	0.00025928
-716.24928422	0.00025750
-716.21595101	0.00024899
-716.18261781	0.00026924
-716.14928460	0.00019440
-716.11595139	0.00018414
-716.08261818	0.00016945
-716.04928498	0.00007074
-716.01595177	0.00007551
-715.98261856	0.00003202
-715.94928536	0.00001567
-715.91595215	0.00006753
-715.88261894	0.00006075
-715.84928573	-0.00006733
-715.81595253	0.00004152
-715.78261932	0.00000888
-715.74928611	-0.00011354
-715.71595290	-0.00002830
-715.68261970	-0.00002103
-715.64928649	-0.00003692
-715.61595328	-0.00005785
-715.58262007	0.00002532
-715.54928687	-0.00000476
-715.51595366	-0.00002823
-715.48262045	0.00004970
-715.44928725	-0.00000818
-715.41595404	0.00000788
-715.38262083	0.00006453
-715.34928762	0.00004549
-715.31595442	0.00011998
-715.28262121	0.00009528
-715.24928800	0.00006739
-715.21595479	0.00022134
-715.18262159	0.00014392
-715.14928838	0.00015797
-715.11595517	0.00019328
-715.08262196	0.00022301
-715.04928876	0.00026782
-715.01595555	0.00035955
-714.98262234	0.00038263
-714.94928914	0.00040250
-714.91595593	0.00041524
-714.88262272	0.00039388
-714.84928951	0.00038155
-714.81595631	0.00047923
-714.78262310	0.00033013
-714.74928989	0.00045930
-714.71595668	0.00045281
-714.68262348	0.00043427
-714.64929027	0.00049707
-714.61595706	0.00047634
-714.58262386	0.00055690
-714.54929065	0.00053717
-714.51595744	0.00047353
-714.48262423	0.00050599
-714.44929103	0.00052901
-714.41595782	0.00052859
-714.38262461	0.00047392
-714.34929140	0.00053462
-714.31595820	0.00044610
-714.28262499	0.00040891
-714.24929178	0.00041330
-714.21595857	0.00044762
-714.18262537	0.00042195
-714.14929216	0.00026539
-714.11595895	0.00035428
-714.08262575	0.00032985
-714.04929254	0.00017377
-714.01595933	0.00011866
-713.98262612	0.00020398
-713.94929292	0.00014563
-713.91595971	0.00009991
-713.88262650	0.00004560
-713.84929329	0.00007116
-713.81596009	0.00006551
-713.78262688	-0.00007584
-713.74929367	0.00007514
-713.71596047	-0.00004624
-713.68262726	-0.00009988
-713.64929405	-0.00010894
-713.61596084	-0.00027511
-713.58262764	-0.00029363
-713.54929443	-0.00027207
-713.51596122	-0.00031644
-713.48262801	-0.00042609
-713.44929481	-0.00033807
-713.41596160	-0.00031221
-713.38262839	-0.00041531
-713.34929518	-0.00053248
-713.31596198	-0.00046238
-713.28262877	-0.00049445
-713.24929556	-0.00050469
-713.21596236	-0.00049405
-713.18262915	-0.00051464
-713.14929594	-0.00041873
-713.11596273	-0.00049561
-713.08262953	-0.00051915
-713.04929632	-0.00060623
-713.01596311	-0.00053340
-712.98262990	-0.00056442
-712.94929670	-0.00052755
-712.91596349	-0.00058927
-712.88263028	-0.00056543
-712.84929708	-0.00055459
-712.81596387	-0.00055826
-712.78263066	-0.00058181
-712.74929745	-0.00061007
-712.71596425	-0.00051853
-712.68263104	-0.00050166
-712.64929783	-0.00058630
-712.61596462	-0.00054829
-712.58263142	-0.00057958
-712.54929821	-0.00054011
-712.51596500	-0.00047536
-712.48263179	-0.00049110
-712.44929859	-0.00047973
-712.41596538	-0.00046048
-712.38263217	-0.00052435
-712.34929897	-0.00047113
-712.31596576	-0.00040928
-712.28263255	-0.00041609
-712.24929934	-0.00050450
-712.21596614	-0.00040670
-712.18263293	-0.00041439
-712.14929972	-0.00042052
-712.11596651	-0.00050062
-712.08263331	-0.00045508
-712.04930010	-0.00039836
-712.01596689	-0.00040593
-711.98263369	-0.00045002
-711.94930048	-0.00041274
-711.91596727	-0.00041736
-711.88263406	-0.00043988
-711.84930086	-0.00055678
-711.81596765	-0.00059874
-711.78263444	-0.00059690
-711.74930123	-0.00052397
-711.71596803	-0.00059363
-711.68263482	-0.00062029
-711.64930161	-0.00072942
-711.61596840	-0.00066002
-711.58263520	-0.00075815
-711.54930199	-0.00075057
-711.51596878	-0.00083813
-711.48263558	-0.00082416
-711.44930237	-0.00093804
-711.41596916	-0.00092469
-711.38263595	-0.00091266
-711.34930275	-0.00097817
-711.31596954	-0.00093687
-711.28263633	-0.00101342
-711.24930312	-0.00095453
-711.21596992	-0.00104306
-711.18263671	-0.00098489
-711.14930350	-0.00100975
-711.11597029	-0.00109863
-711.08263709	-0.00107459
-711.04930388	-0.00114969
-711.01597067	-0.00109895
-710.98263747	-0.00109495
-710.94930426	-0.00112151
-710.91597105	-0.00099268
-710.88263784	-0.00108882
-710.84930464	-0.00108470
-710.81597143	-0.00105456
-710.78263822	-0.00104146
-710.74930501	-0.00102482
-710.71597181	-0.00098753
-710.68263860	-0.00091950
-710.64930539	-0.00092127
-710.61597219	-0.00083676
-710.58263898	-0.00084991
-710.54930577	-0.00070447
-710.51597256	-0.00066921
-710.48263936	-0.00064788
-710.44930615	-0.00050409
-710.41597294	-0.00037462
-710.38263973	-0.00029306
-710.34930653	-0.00029179
-710.31597332	-0.00016359
-710.28264011	0.00000993
-710.24930690	0.00015118
-710.21597370	0.00034429
-710.18264049	0.00047778
-710.14930728	0.00062876
-710.11597408	0.00091630
-710.08264087	0.00102038
-710.04930766	0.00140544
-710.01597445	0.00166927
-709.98264125	0.00187591
-709.94930804	0.00206734
-709.91597483	0.00241673
-709.88264162	0.00271020
-709.84930842	0.00304282
-709.81597521	0.00321833
-709.78264200	0.00352931
-709.74930880	0.00371386
-709.71597559	0.00402456
-709.68264238	0.00407172
-709.64930917	0.00387974
-709.61597597	0.00363554
-709.58264276	0.00316353
-709.54930955	0.00247361
-709.51597634	0.00135344
-709.48264314	-0.00017152
-709.44930993	-0.00214369
-709.41597672	-0.00474963
-709.38264351	-0.00772860
-709.34931031	-0.01107473
-709.31597710	-0.01488933
-709.28264389	-0.01897625
-709.24931069	-0.02309350
-709.21597748	-0.02704385
-709.18264427	-0.03050870
-709.14931106	-0.03313493
-709.11597786	-0.03486723
-709.08264465	-0.03530518
-709.04931144	-0.03430103
-709.01597823	-0.03189466
-708.98264503	-0.02811421
-708.94931182	-0.02315703
-708.91597861	-0.01731314
-708.88264541	-0.01084072
-708.84931220	-0.00427241
-708.81597899	0.00234645
-708.78264578	0.00850114
-708.74931258	0.01416927
-708.71597937	0.01903260
-708.68264616	0.02274735
-708.64931295	0.02518086
-708.61597975	0.02615362
-708.58264654	0.02563907
-708.54931333	0.02360512
-708.51598012	0.02044080
-708.48264692	0.01649812
-708.44931371	0.01213133
-708.41598050	0.00796744
-708.38264730	0.00413424
-708.34931409	0.00082953
-708.31598088	-0.00188337
-708.28264767	-0.00381260
-708.24931447	-0.00515613
-708.21598126	-0.00545813
-708.18264805	-0.00515117
-708.14931484	-0.00414456
-708.11598164	-0.00277270
-708.08264843	-0.00119428
-708.04931522	0.00017605
-708.01598202	0.00112530
-707.98264881	0.00177737
-707.94931560	0.00203037
-707.91598239	0.00210922
-707.88264919	0.00181470
-707.84931598	0.00158924
-707.81598277	0.00098365
-707.78264956	0.00019695
-707.74931636	-0.00054569
-707.71598315	-0.00134145
-707.68264994	-0.00211137
-707.64931673	-0.00277333
-707.61598353	-0.00326400
-707.58265032	-0.00352537
-707.54931711	-0.00362529
-707.51598391	-0.00357147
-707.48265070	-0.00356630
-707.44931749	-0.00325971
-707.41598428	-0.00294391
-707.38265108	-0.00278633
-707.34931787	-0.00246019
-707.31598466	-0.00217258
-707.28265145	-0.00194949
-707.24931825	-0.00171052
-707.21598504	-0.00162668
-707.18265183	-0.00157363
-707.14931862	-0.00155871
-707.11598542	-0.00160544
-707.08265221	-0.00166948
-707.04931900	-0.00175306
-707.01598580	-0.00178115
-706.98265259	-0.00182665
-706.94931938	-0.00185273
-706.91598617	-0.00189163
-706.88265297	-0.00190550
-706.84931976	-0.00188421
-706.81598655	-0.00171353
-706.78265334	-0.00155870
-706.74932014	-0.00155884
-706.71598693	-0.00131987
-706.68265372	-0.00131083
-706.64932052	-0.00121887
-706.61598731	-0.00121274
-706.58265410	-0.00112665
-706.54932089	-0.00124498
-706.51598769	-0.00137778
-706.48265448	-0.00163615
-706.44932127	-0.00180032
-706.41598806	-0.00215649
-706.38265486	-0.00254697
-706.34932165	-0.00294209
-706.31598844	-0.00338886
-706.28265523	-0.00395398
-706.24932203	-0.00452942
-706.21598882	-0.00502169
-706.18265561	-0.00535616
-706.14932241	-0.00571907
-706.11598920	-0.00586436
-706.08265599	-0.00572666
-706.04932278	-0.00540661
-706.01598958	-0.00487386
-705.98265637	-0.00407927
-705.94932316	-0.00319875
-705.91598995	-0.00222636
-705.88265675	-0.00113826
-705.84932354	-0.00010382
-705.81599033	0.00068761
-705.78265713	0.00123232
-705.74932392	0.00165954
-705.71599071	0.00182889
-705.68265750	0.00172887
-705.64932430	0.00160657
-705.61599109	0.00139926
-705.58265788	0.00111374
-705.54932467	0.00087614
-705.51599147	0.00059648
-705.48265826	0.00028561
-705.44932505	0.00022208
-705.41599184	-0.00003152
-705.38265864	-0.00011846
-705.34932543	-0.00023951
-705.31599222	-0.00020233
-705.28265902	-0.00008889
-705.24932581	-0.00002225
-705.21599260	0.00013102
-705.18265939	0.00014890
-705.14932619	0.00016614
-705.11599298	0.00011406
-705.08265977	0.00002298
-705.04932656	-0.00019663
-705.01599336	-0.00055414
-704.98266015	-0.00099546
-704.94932694	-0.00173223
-704.91599374	-0.00257106
-704.88266053	-0.00366029
-704.84932732	-0.00487131
-704.81599411	-0.00606421
-704.78266091	-0.00730343
-704.74932770	-0.00844988
-704.71599449	-0.00953295
-704.68266128	-0.01015361
-704.64932808	-0.01052488
-704.61599487	-0.01041294
-704.58266166	-0.01004761
-704.54932845	-0.00926023
-704.51599525	-0.00829567
-704.48266204	-0.00701386
-704.44932883	-0.00570763
-704.41599563	-0.00442683
-704.38266242	-0.00323055
-704.34932921	-0.00222264
-704.31599600	-0.00143692
-704.28266280	-0.00075520
-704.24932959	-0.00014156
-704.21599638	0.00010025
-704.18266317	0.00040990
-704.14932997	0.00045402
-704.11599676	0.00033441
-704.08266355	0.00019626
-704.04933035	-0.00007896
-704.01599714	-0.00043288
-703.98266393	-0.00067610
-703.94933072	-0.00082445
-703.91599752	-0.00115787
-703.88266431	-0.00119967
-703.84933110	-0.00139956
-703.81599789	-0.00163111
-703.78266469	-0.00166239
-703.74933148	-0.00181117
-703.71599827	-0.00209402
-703.68266506	-0.00213311
-703.64933186	-0.00230493
-703.61599865	-0.00240494
-703.58266544	-0.00253982
-703.54933224	-0.00272514
