# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:12:00
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-710.08286712	0.00000000
-710.04953379	0.00000004
-710.01620045	0.00000018
-709.98286712	0.00000046
-709.94953379	0.00000058
-709.91620046	0.00000062
-709.88286712	0.00000078
-709.84953379	0.00000058
-709.81620046	0.00000112
-709.78286712	0.00000061
-709.74953379	0.00000049
-709.71620046	0.00000064
-709.68286712	0.00000131
-709.64953379	-0.00000129
-709.61620046	-0.00000258
-709.58286712	0.00000091
-709.54953379	-0.00000161
-709.51620046	-0.00000144
-709.48286713	-0.00000685
-709.44953379	-0.00000643
-709.41620046	-0.00000649
-709.38286713	-0.00000881
-709.34953379	-0.00001137
-709.31620046	-0.00000491
-709.28286713	-0.00001941
-709.24953379	-0.00001877
-709.21620046	-0.00002036
-709.18286713	-0.00001615
-709.14953379	-0.00002192
-709.11620046	-0.00002329
-709.08286713	-0.00001723
-709.04953380	-0.00002478
-709.01620046	-0.00003532
-708.98286713	-0.00003998
-708.94953380	-0.00003235
-708.91620046	-0.00005395
-708.88286713	-0.00003640
-708.84953380	-0.00003143
-708.81620046	-0.00003668
-708.78286713	-0.00003791
-708.74953380	-0.00003767
-708.71620047	-0.00003671
-708.68286713	-0.00006399
-708.64953380	-0.00007044
-708.61620047	-0.00005986
-708.58286713	-0.00005289
-708.54953380	-0.00006723
-708.51620047	-0.00005583
-708.48286713	-0.00008569
-708.44953380	-0.00010802
-708.41620047	-0.00006039
-708.38286713	-0.00009782
-708.34953380	-0.00010461
-708.31620047	-0.00007872
-708.28286714	-0.00011107
-708.24953380	-0.00015189
-708.21620047	-0.00016181
-708.18286714	-0.00013961
-708.14953380	-0.00016474
-708.11620047	-0.00019735
-708.08286714	-0.00023673
-708.04953380	-0.00023416
-708.01620047	-0.00025661
-707.98286714	-0.00026422
-707.94953380	-0.00026620
-707.91620047	-0.00027513
-707.88286714	-0.00033000
-707.84953381	-0.00027524
-707.81620047	-0.00032912
-707.78286714	-0.00033499
-707.74953381	-0.00037449
-707.71620047	-0.00039206
-707.68286714	-0.00040128
-707.64953381	-0.00040610
-707.61620047	-0.00045374
-707.58286714	-0.00046654
-707.54953381	-0.00048461
-707.51620047	-0.00047452
-707.48286714	-0.00051588
-707.44953381	-0.00056142
-707.41620048	-0.00055984
-707.38286714	-0.00055349
-707.34953381	-0.00055302
-707.31620048	-0.00057528
-707.28286714	-0.00061827
-707.24953381	-0.00061164
-707.21620048	-0.00065538
-707.18286714	-0.00067608
-707.14953381	-0.00068145
-707.11620048	-0.00066849
-707.08286714	-0.00065293
-707.04953381	-0.00062554
-707.01620048	-0.00060793
-706.98286715	-0.00062298
-706.94953381	-0.00065499
-706.91620048	-0.00056596
-706.88286715	-0.00056410
-706.84953381	-0.00053993
-706.81620048	-0.00058449
-706.78286715	-0.00051086
-706.74953381	-0.00047459
-706.71620048	-0.00048841
-706.68286715	-0.00048806
-706.64953382	-0.00039413
-706.61620048	-0.00038914
-706.58286715	-0.00035953
-706.54953382	-0.00026657
-706.51620048	-0.00020088
-706.48286715	-0.00007852
-706.44953382	-0.00001733
-706.41620048	0.00002444
-706.38286715	0.00016408
-706.34953382	0.00018782
-706.31620048	0.00028850
-706.28286715	0.00040273
-706.24953382	0.00052112
-706.21620049	0.00066928
-706.18286715	0.00075932
-706.14953382	0.00094454
-706.11620049	0.00113646
-706.08286715	0.00124171
-706.04953382	0.00138611
-706.01620049	0.00157540
-705.98286715	0.00175528
-705.94953382	0.00192788
-705.91620049	0.00201004
-705.88286715	0.00208623
-705.84953382	0.00211858
-705.81620049	0.00212936
-705.78286716	0.00207463
-705.74953382	0.00190022
-705.71620049	0.00173271
-705.68286716	0.00138724
-705.64953382	0.00090935
-705.61620049	0.00030737
-705.58286716	-0.00040109
-705.54953382	-0.00130998
-705.51620049	-0.00233369
-705.48286716	-0.00360197
-705.44953382	-0.00500567
-705.41620049	-0.00644694
-705.38286716	-0.00811955
-705.34953383	-0.00969129
-705.31620049	-0.01125351
-705.28286716	-0.01283060
-705.24953383	-0.01415154
-705.21620049	-0.01522607
-705.18286716	-0.01603420
-705.14953383	-0.01642116
-705.11620049	-0.01642632
-705.08286716	-0.01588013
-705.04953383	-0.01483591
-705.01620049	-0.01312359
-704.98286716	-0.01095958
-704.94953383	-0.00832874
-704.91620050	-0.00533544
-704.88286716	-0.00204213
-704.84953383	0.00136515
-704.81620050	0.00474795
-704.78286716	0.00789175
-704.74953383	0.01073103
-704.71620050	0.01301255
-704.68286716	0.01468306
-704.64953383	0.01564217
-704.61620050	0.01595352
-704.58286717	0.01543710
-704.54953383	0.01425637
-704.51620050	0.01249709
-704.48286717	0.01038387
-704.44953383	0.00792328
-704.41620050	0.00530823
-704.38286717	0.00275237
-704.34953383	0.00044183
-704.31620050	-0.00155016
-704.28286717	-0.00314741
-704.24953383	-0.00435352
-704.21620050	-0.00497984
-704.18286717	-0.00526293
-704.14953384	-0.00510960
-704.11620050	-0.00454288
-704.08286717	-0.00368615
-704.04953384	-0.00270723
-704.01620050	-0.00179593
-703.98286717	-0.00078232
-703.94953384	0.00010167
-703.91620050	0.00075968
-703.88286717	0.00128360
-703.84953384	0.00146442
-703.81620050	0.00147082
-703.78286717	0.00125789
-703.74953384	0.00084105
-703.71620051	0.00031029
-703.68286717	-0.00028547
-703.64953384	-0.00081481
-703.61620051	-0.00134845
-703.58286717	-0.00178281
-703.54953384	-0.00210760
-703.51620051	-0.00228297
-703.48286717	-0.00230245
-703.44953384	-0.00222936
-703.41620051	-0.00215856
-703.38286717	-0.00206930
-703.34953384	-0.00190636
-703.31620051	-0.00180109
-703.28286718	-0.00166595
-703.24953384	-0.00155815
-703.21620051	-0.00146301
-703.18286718	-0.00137805
-703.14953384	-0.00119290
-703.11620051	-0.00104514
-703.08286718	-0.00085506
-703.04953384	-0.00065778
-703.01620051	-0.00048981
-702.98286718	-0.00047138
-702.94953384	-0.00041415
-702.91620051	-0.00045601
-702.88286718	-0.00050854
-702.84953385	-0.00062196
-702.81620051	-0.00073154
-702.78286718	-0.00081146
-702.74953385	-0.00088900
-702.71620051	-0.00090386
-702.68286718	-0.00094575
-702.64953385	-0.00095633
-702.61620051	-0.00099846
-702.58286718	-0.00104839
-702.54953385	-0.00118853
-702.51620052	-0.00127885
-702.48286718	-0.00143383
-702.44953385	-0.00164084
-702.41620052	-0.00186308
-702.38286718	-0.00209767
-702.34953385	-0.00220994
-702.31620052	-0.00239442
-702.28286718	-0.00249948
-702.24953385	-0.00265171
-702.21620052	-0.00277155
-702.18286718	-0.00282382
-702.14953385	-0.00284882
-702.11620052	-0.00285443
-702.08286719	-0.00272132
-702.04953385	-0.00253726
-702.01620052	-0.00227803
-701.98286719	-0.00201932
-701.94953385	-0.00164419
-701.91620052	-0.00125099
-701.88286719	-0.00089992
-701.84953385	-0.00042742
-701.81620052	-0.00003164
-701.78286719	0.00037160
-701.74953385	0.00063273
-701.71620052	0.00083071
-701.68286719	0.00096988
-701.64953386	0.00109027
-701.61620052	0.00104406
-701.58286719	0.00096324
-701.54953386	0.00074587
-701.51620052	0.00053895
-701.48286719	0.00026733
-701.44953386	0.00007790
-701.41620052	-0.00004627
-701.38286719	-0.00025392
-701.34953386	-0.00033764
-701.31620052	-0.00040613
-701.28286719	-0.00044433
-701.24953386	-0.00045683
-701.21620053	-0.00042076
-701.18286719	-0.00048828
-701.14953386	-0.00045317
-701.11620053	-0.00060676
-701.08286719	-0.00079514
-701.04953386	-0.00098216
-701.01620053	-0.00126983
-700.98286719	-0.00158819
-700.94953386	-0.00198396
-700.91620053	-0.00240647
-700.88286719	-0.00293590
-700.84953386	-0.00336901
-700.81620053	-0.00384061
-700.78286720	-0.00418899
-700.74953386	-0.00452146
-700.71620053	-0.00476534
-700.68286720	-0.00493626
-700.64953386	-0.00502954
-700.61620053	-0.00500898
-700.58286720	-0.00480758
-700.54953386	-0.00455799
-700.51620053	-0.00409407
-700.48286720	-0.00359970
-700.44953387	-0.00294753
-700.41620053	-0.00225981
-700.38286720	-0.00152416
-700.34953387	-0.00074717
-700.31620053	-0.00004099
-700.28286720	0.00047423
-700.24953387	0.00088253
-700.21620053	0.00123236
-700.18286720	0.00132010
-700.14953387	0.00131581
-700.11620053	0.00112281
-700.08286720	0.00089250
-700.04953387	0.00055763
-700.01620054	0.00014674
-699.98286720	-0.00014031
-699.94953387	-0.00042794
-699.91620054	-0.00074074
-699.88286720	-0.00092604
-699.84953387	-0.00115432
-699.81620054	-0.00120156
-699.78286720	-0.00130481
-699.74953387	-0.00139854
-699.71620054	-0.00148374
-699.68286720	-0.00154694
-699.64953387	-0.00159231
-699.61620054	-0.00170337
-699.58286721	-0.00173498
-699.54953387	-0.00176673
-699.51620054	-0.00180983
-699.48286721	-0.00179674
-699.44953387	-0.00175856
-699.41620054	-0.00170780
-699.38286721	-0.00158803
-699.34953387	-0.00152226
-699.31620054	-0.00143417
-699.28286721	-0.00133944
-699.24953387	-0.00126376
-699.21620054	-0.00128613
-699.18286721	-0.00129807
-699.14953388	-0.00124214
-699.11620054	-0.00122161
-699.08286721	-0.00127785
-699.04953388	-0.00119790
-699.01620054	-0.00123032
-698.98286721	-0.00118584
-698.94953388	-0.00116587
-698.91620054	-0.00119674
-698.88286721	-0.00120493
-698.84953388	-0.00126047
-698.81620054	-0.00136368
-698.78286721	-0.00147330
-698.74953388	-0.00145996
-698.71620055	-0.00156689
-698.68286721	-0.00160392
-698.64953388	-0.00167325
-698.61620055	-0.00165538
-698.58286721	-0.00168685
-698.54953388	-0.00164860
-698.51620055	-0.00161862
-698.48286721	-0.00159317
-698.44953388	-0.00160858
-698.41620055	-0.00162361
-698.38286722	-0.00158772
-698.34953388	-0.00162619
-698.31620055	-0.00161098
-698.28286722	-0.00165190
-698.24953388	-0.00170087
-698.21620055	-0.00166074
-698.18286722	-0.00165125
-698.14953388	-0.00166235
-698.11620055	-0.00160899
-698.08286722	-0.00164347
-698.04953388	-0.00165739
-698.01620055	-0.00164902
-697.98286722	-0.00173147
-697.94953389	-0.00169441
-697.91620055	-0.00177430
-697.88286722	-0.00176888
-697.84953389	-0.00170173
-697.81620055	-0.00174871
-697.78286722	-0.00176909
-697.74953389	-0.00179203
-697.71620055	-0.00171962
-697.68286722	-0.00173444
-697.64953389	-0.00170887
-697.61620055	-0.00170235
-697.58286722	-0.00169261
-697.54953389	-0.00166882
-697.51620056	-0.00171676
-697.48286722	-0.00167921
-697.44953389	-0.00171329
-697.41620056	-0.00163328
-697.38286722	-0.00162757
-697.34953389	-0.00160204
-697.31620056	-0.00153507
-697.28286722	-0.00148542
-697.24953389	-0.00143449
-697.21620056	-0.00140609
-697.18286722	-0.00143571
-697.14953389	-0.00136660
-697.11620056	-0.00141831
-697.08286723	-0.00138742
-697.04953389	-0.00139433
-697.01620056	-0.00151041
-696.98286723	-0.00158404
-696.94953389	-0.00166067
-696.91620056	-0.00177125
-696.88286723	-0.00184310
-696.84953389	-0.00194818
-696.81620056	-0.00207337
-696.78286723	-0.00217329
-696.74953389	-0.00232041
-696.71620056	-0.00244148
-696.68286723	-0.00257339
-696.64953390	-0.00277389
-696.61620056	-0.00294885
-696.58286723	-0.00321287
-696.54953390	-0.00345437
-696.51620056	-0.00377025
-696.48286723	-0.00421530
-696.44953390	-0.00473584
-696.41620056	-0.00535399
-696.38286723	-0.00610672
-696.34953390	-0.00696113
-696.31620057	-0.00785703
-696.28286723	-0.00902315
-696.24953390	-0.01019720
-696.21620057	-0.01138442
-696.18286723	-0.01257535
-696.14953390	-0.01365339
-696.11620057	-0.01464247
-696.08286723	-0.01536888
-696.04953390	-0.01566910
-696.01620057	-0.01571889
-695.98286723	-0.01525327
-695.94953390	-0.01434411
-695.91620057	-0.01291303
-695.88286724	-0.01103520
-695.84953390	-0.00880866
-695.81620057	-0.00626751
-695.78286724	-0.00351919
-695.74953390	-0.00073662
-695.71620057	0.00193529
-695.68286724	0.00423755
-695.64953390	0.00612034
-695.61620057	0.00741684
-695.58286724	0.00794660
-695.54953390	0.00778982
-695.51620057	0.00695935
-695.48286724	0.00533858
-695.44953391	0.00337152
-695.41620057	0.00098284
-695.38286724	-0.00158707
-695.34953391	-0.00406426
-695.31620057	-0.00631442
-695.28286724	-0.00819870
-695.24953391	-0.00953768
-695.21620057	-0.01028126
-695.18286724	-0.01055824
-695.14953391	-0.01026971
-695.11620057	-0.00962739
-695.08286724	-0.00865695
-695.04953391	-0.00756536
-695.01620058	-0.00630449
-694.98286724	-0.00511585
-694.94953391	-0.00411330
-694.91620058	-0.00311705
-694.88286724	-0.00230519
-694.84953391	-0.00142936
-694.81620058	-0.00057885
-694.78286724	0.00029041
-694.74953391	0.00122266
-694.71620058	0.00229401
-694.68286724	0.00339694
-694.64953391	0.00463075
-694.61620058	0.00585444
-694.58286725	0.00712797
-694.54953391	0.00839004
-694.51620058	0.00970027
-694.48286725	0.01111637
-694.44953391	0.01269045
-694.41620058	0.01439896
-694.38286725	0.01642971
-694.34953391	0.01882044
-694.31620058	0.02154090
-694.28286725	0.02464498
-694.24953392	0.02804797
-694.21620058	0.03181007
-694.18286725	0.03581533
-694.14953392	0.04011860
-694.11620058	0.04466051
-694.08286725	0.04964176
-694.04953392	0.05492651
-694.01620058	0.06065913
-693.98286725	0.06694690
-693.94953392	0.07393316
-693.91620058	0.08159169
-693.88286725	0.08992319
-693.84953392	0.09911508
-693.81620059	0.10904455
-693.78286725	0.11982820
-693.74953392	0.13149052
-693.71620059	0.14388431
-693.68286725	0.15730114
-693.64953392	0.17148550
-693.61620059	0.18647334
-693.58286725	0.20221850
