# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -710.00000000 ps, Average over 5000 waveforms. Timestamp: 2023-11-21T15:12:00
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
0.00000000	-16.54304955
0.00732601	-19.77618448
0.01465201	-27.63523470
0.02197802	-22.79773594
0.02930403	-23.70735043
0.03663004	-23.79183453
0.04395604	-23.51560955
0.05128205	-25.64296737
0.05860806	-24.09647781
0.06593407	-24.17810872
0.07326007	-25.42840868
0.08058608	-24.51547890
0.08791209	-26.78972733
0.09523810	-25.12640390
0.10256410	-23.12364661
0.10989011	-25.36617740
0.11721612	-24.02900877
0.12454213	-22.16185597
0.13186813	-22.22783751
0.13919414	-20.33662320
0.14652015	-19.57289525
0.15384616	-20.65814899
0.16117216	-19.79103113
0.16849817	-17.96157610
0.17582418	-16.89428380
0.18315018	-16.13418981
0.19047619	-15.24110833
0.19780220	-14.11387829
0.20512821	-14.03352168
0.21245421	-14.97187448
0.21978022	-12.87844397
0.22710623	-10.51676484
0.23443224	-10.65771367
0.24175824	-11.44608212
0.24908425	-10.77312492
0.25641026	-11.16199996
0.26373627	-11.16576645
0.27106227	-9.08303173
0.27838828	-8.51909422
0.28571429	-9.35208108
0.29304030	-9.27483454
0.30036630	-8.84223135
0.30769231	-8.80459161
0.31501832	-7.77372933
0.32234432	-6.18039777
0.32967033	-5.79502326
0.33699634	-6.84164749
0.34432235	-7.20032896
0.35164835	-6.38861058
0.35897436	-5.98398666
0.36630037	-5.21463167
0.37362638	-4.71718315
0.38095238	-5.33035313
0.38827839	-5.73596038
0.39560440	-5.73356780
0.40293041	-5.65219666
0.41025641	-4.62140851
0.41758242	-4.07961386
0.42490843	-4.40397368
0.43223444	-4.74390519
0.43956044	-5.06807176
0.44688645	-4.43420399
0.45421246	-3.15640020
0.46153847	-2.56836321
0.46886447	-2.43870926
0.47619048	-2.74594367
0.48351649	-3.34098155
0.49084249	-3.28331353
0.49816850	-2.89175728
0.50549451	-2.26918742
0.51282052	-1.85902791
0.52014652	-2.54198047
0.52747253	-3.27878227
0.53479854	-3.11402189
0.54212455	-2.76895923
0.54945055	-1.81442894
0.55677656	-1.19692936
0.56410257	-1.44604176
0.57142858	-1.66598063
0.57875458	-1.95501940
0.58608059	-1.91271673
0.59340660	-0.92533311
0.60073261	-0.34478550
0.60805861	-0.51321579
0.61538462	-1.17174297
0.62271063	-2.01919430
0.63003664	-2.00995656
0.63736264	-1.52036234
0.64468865	-1.06302106
0.65201466	-0.68654388
0.65934066	-1.19989440
0.66666667	-2.04326952
0.67399268	-1.97314861
0.68131869	-1.55505803
0.68864469	-0.68262476
0.69597070	0.00000000
0.70329671	-0.34988908
0.71062272	-0.99896061
0.71794872	-1.32008185
0.72527473	-1.30671520
0.73260074	-0.62915668
0.73992675	-0.28686995
0.74725275	-0.84101828
0.75457876	-1.72799740
0.76190477	-2.42558057
0.76923078	-2.44961704
0.77655678	-1.74810674
0.78388279	-0.98850796
0.79120880	-0.74632994
0.79853480	-1.28336082
0.80586081	-1.87412735
0.81318682	-1.76663561
0.82051283	-1.30168057
0.82783883	-0.50675536
0.83516484	-0.08768965
0.84249085	-0.66443738
0.84981686	-1.52559687
0.85714286	-1.85280154
0.86446887	-1.68000152
0.87179488	-1.04826669
0.87912089	-0.74743620
0.88644689	-1.22857871
0.89377290	-2.03871210
0.90109891	-2.63709883
0.90842492	-2.45506209
0.91575092	-1.53198565
0.92307693	-0.81107783
0.93040294	-0.78319439
0.93772895	-1.32751028
0.94505495	-1.86523058
0.95238096	-1.84833828
0.95970697	-1.33590154
0.96703297	-0.83747377
0.97435898	-1.06236892
0.98168499	-2.18670147
0.98901100	-3.31866685
0.99633700	-3.64029754
1.00366301	-3.42009336
1.01098902	-2.83344823
1.01831503	-2.48462522
1.02564103	-2.87129310
1.03296704	-3.47390145
1.04029305	-3.51544596
1.04761906	-3.02778922
1.05494506	-2.24478705
1.06227107	-1.81239917
1.06959708	-2.31313308
1.07692309	-3.21547210
1.08424909	-3.66172476
1.09157510	-4.00909689
1.09890111	-3.88104350
1.10622712	-3.30257029
1.11355312	-3.69381873
1.12087913	-4.73843302
1.12820514	-5.04429307
1.13553114	-5.05723593
1.14285715	-4.54508200
1.15018316	-3.79863423
1.15750917	-4.08970938
1.16483517	-4.83919641
1.17216118	-4.83266682
1.17948719	-4.55498380
1.18681320	-4.07274373
1.19413920	-3.59597235
1.20146521	-3.91446946
1.20879122	-4.88348012
1.21611723	-5.79514350
1.22344323	-6.42927790
1.23076924	-6.51659862
1.23809525	-6.22098046
1.24542126	-6.34538246
1.25274726	-6.96409866
1.26007327	-7.48944403
1.26739928	-7.56178346
1.27472528	-7.14165321
1.28205129	-6.50731185
1.28937730	-6.26720500
1.29670331	-6.66918144
1.30402931	-7.37564382
1.31135532	-7.83878501
1.31868133	-7.87757863
1.32600734	-7.77362322
1.33333334	-7.93599564
1.34065935	-8.58916528
1.34798536	-9.52472183
1.35531137	-10.16451238
1.36263737	-10.24566022
1.36996338	-9.95099095
1.37728939	-9.65779149
