# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -695.40000000 ps, Average over 10000 waveforms. Timestamp: 2023-10-25T15:43:57
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-695.41620099	0.00000000
-695.38286776	0.00000003
-695.34953452	0.00000013
-695.31620129	0.00000032
-695.28286806	0.00000062
-695.24953483	0.00000102
-695.21620160	0.00000151
-695.18286836	0.00000155
-695.14953513	0.00000232
-695.11620190	0.00000231
-695.08286867	0.00000185
-695.04953544	0.00000370
-695.01620221	0.00000307
-694.98286897	0.00000220
-694.94953574	0.00000275
-694.91620251	0.00000197
-694.88286928	-0.00000088
-694.84953605	0.00000035
-694.81620282	-0.00000203
-694.78286958	-0.00000477
-694.74953635	-0.00000690
-694.71620312	-0.00001238
-694.68286989	-0.00001584
-694.64953666	-0.00001826
-694.61620343	-0.00002224
-694.58287019	-0.00002847
-694.54953696	-0.00003273
-694.51620373	-0.00003752
-694.48287050	-0.00004989
-694.44953727	-0.00005034
-694.41620404	-0.00005909
-694.38287080	-0.00005759
-694.34953757	-0.00006800
-694.31620434	-0.00008383
-694.28287111	-0.00007654
-694.24953788	-0.00008855
-694.21620465	-0.00009762
-694.18287141	-0.00010293
-694.14953818	-0.00010328
-694.11620495	-0.00010147
-694.08287172	-0.00011412
-694.04953849	-0.00011130
-694.01620525	-0.00011492
-693.98287202	-0.00010469
-693.94953879	-0.00011655
-693.91620556	-0.00011990
-693.88287233	-0.00009934
-693.84953910	-0.00010069
-693.81620586	-0.00010706
-693.78287263	-0.00010392
-693.74953940	-0.00009921
-693.71620617	-0.00009949
-693.68287294	-0.00007398
-693.64953971	-0.00008575
-693.61620647	-0.00006359
-693.58287324	-0.00005064
-693.54954001	0.00000221
-693.51620678	0.00000522
-693.48287355	0.00004080
-693.44954032	0.00006312
-693.41620708	0.00010758
-693.38287385	0.00015631
-693.34954062	0.00022798
-693.31620739	0.00029225
-693.28287416	0.00034895
-693.24954093	0.00041946
-693.21620769	0.00052518
-693.18287446	0.00063570
-693.14954123	0.00075463
-693.11620800	0.00083935
-693.08287477	0.00097334
