# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -699.10000000 ps, Average over 1000 waveforms. Timestamp: 2023-10-24T15:37:11
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-699.14953505	0.00000000
-699.11620181	0.00000288
-699.08286857	0.00001139
-699.04953533	0.00002516
-699.01620210	0.00004335
-698.98286886	0.00006480
-698.94953562	0.00008706
-698.91620239	0.00010957
-698.88286915	0.00012586
-698.84953591	0.00013700
-698.81620267	0.00013396
-698.78286944	0.00011729
-698.74953620	0.00007498
-698.71620296	0.00001561
-698.68286972	-0.00007808
-698.64953649	-0.00019855
-698.61620325	-0.00035419
-698.58287001	-0.00054197
-698.54953678	-0.00074104
-698.51620354	-0.00095445
-698.48287030	-0.00116927
-698.44953706	-0.00134071
-698.41620383	-0.00147824
-698.38287059	-0.00152574
-698.34953735	-0.00147573
-698.31620411	-0.00131626
-698.28287088	-0.00098211
-698.24953764	-0.00056508
-698.21620440	0.00004484
-698.18287117	0.00077594
-698.14953793	0.00162616
-698.11620469	0.00254354
-698.08287145	0.00353364
-698.04953822	0.00454440
-698.01620498	0.00551689
-697.98287174	0.00638108
-697.94953850	0.00710807
-697.91620527	0.00764208
-697.88287203	0.00796236
-697.84953879	0.00809039
-697.81620555	0.00796798
-697.78287232	0.00768585
-697.74953908	0.00721146
-697.71620584	0.00665719
-697.68287261	0.00608700
-697.64953937	0.00547013
-697.61620613	0.00490072
-697.58287289	0.00438828
-697.54953966	0.00406116
-697.51620642	0.00393069
-697.48287318	0.00399579
-697.44953994	0.00416417
-697.41620671	0.00447583
-697.38287347	0.00470358
-697.34954023	0.00508499
-697.31620700	0.00536412
-697.28287376	0.00567048
-697.24954052	0.00590919
-697.21620728	0.00602627
-697.18287405	0.00606519
-697.14954081	0.00614727
-697.11620757	0.00607294
-697.08287433	0.00598776
-697.04954110	0.00590712
-697.01620786	0.00571074
-696.98287462	0.00560071
-696.94954139	0.00571280
-696.91620815	0.00579164
-696.88287491	0.00608488
-696.84954167	0.00651973
-696.81620844	0.00695945
-696.78287520	0.00752232
-696.74954196	0.00821022
-696.71620872	0.00880701
-696.68287549	0.00943650
-696.64954225	0.00997806
-696.61620901	0.01048252
-696.58287578	0.01073707
-696.54954254	0.01087887
-696.51620930	0.01061222
-696.48287606	0.01020950
-696.44954283	0.00956552
-696.41620959	0.00874734
-696.38287635	0.00784160
-696.34954311	0.00697419
-696.31620988	0.00610719
-696.28287664	0.00539345
-696.24954340	0.00511340
-696.21621017	0.00500803
-696.18287693	0.00488628
-696.14954369	0.00533010
-696.11621045	0.00590021
-696.08287722	0.00667566
-696.04954398	0.00774860
-696.01621074	0.00882402
-695.98287750	0.00996340
-695.94954427	0.01109573
-695.91621103	0.01200998
-695.88287779	0.01251364
-695.84954456	0.01288260
-695.81621132	0.01279660
-695.78287808	0.01236947
-695.74954484	0.01189410
-695.71621161	0.01104869
-695.68287837	0.01000344
-695.64954513	0.00891636
-695.61621189	0.00786838
-695.58287866	0.00686912
-695.54954542	0.00599412
-695.51621218	0.00547162
-695.48287895	0.00492507
-695.44954571	0.00487098
-695.41621247	0.00498069
-695.38287923	0.00521608
-695.34954600	0.00576152
-695.31621276	0.00652552
-695.28287952	0.00729859
-695.24954628	0.00835740
-695.21621305	0.00929359
-695.18287981	0.01028254
-695.14954657	0.01143760
-695.11621334	0.01251044
-695.08288010	0.01354160
-695.04954686	0.01421833
-695.01621362	0.01483056
-694.98288039	0.01536742
-694.94954715	0.01572940
-694.91621391	0.01592024
-694.88288067	0.01626460
-694.84954744	0.01621089
-694.81621420	0.01611796
-694.78288096	0.01597981
-694.74954773	0.01555684
-694.71621449	0.01514194
-694.68288125	0.01452075
-694.64954801	0.01359732
-694.61621478	0.01276059
-694.58288154	0.01199960
-694.54954830	0.01120031
-694.51621506	0.01040096
-694.48288183	0.00965927
-694.44954859	0.00915609
-694.41621535	0.00866905
-694.38288212	0.00838830
-694.34954888	0.00803568
-694.31621564	0.00781327
-694.28288240	0.00779038
-694.24954917	0.00780940
-694.21621593	0.00766514
-694.18288269	0.00732388
-694.14954945	0.00656795
-694.11621622	0.00605132
-694.08288298	0.00523040
-694.04954974	0.00444266
-694.01621651	0.00372935
-693.98288327	0.00295095
-693.94955003	0.00228155
-693.91621679	0.00180088
-693.88288356	0.00151577
-693.84955032	0.00151424
-693.81621708	0.00188653
-693.78288384	0.00254928
-693.74955061	0.00356224
-693.71621737	0.00467736
-693.68288413	0.00573660
-693.64955090	0.00726124
-693.61621766	0.00847962
-693.58288442	0.01008081
-693.54955118	0.01118499
-693.51621795	0.01226003
-693.48288471	0.01315002
-693.44955147	0.01376345
-693.41621823	0.01413627
-693.38288500	0.01420271
-693.34955176	0.01401272
-693.31621852	0.01374474
-693.28288528	0.01335156
-693.24955205	0.01297770
-693.21621881	0.01240602
-693.18288557	0.01201659
-693.14955234	0.01180745
-693.11621910	0.01153911
-693.08288586	0.01112670
-693.04955262	0.01092339
-693.01621939	0.01055374
-692.98288615	0.01026782
-692.94955291	0.00985908
-692.91621967	0.00953813
-692.88288644	0.00927049
-692.84955320	0.00920418
-692.81621996	0.00890523
-692.78288673	0.00876367
-692.74955349	0.00835027
-692.71622025	0.00801552
-692.68288701	0.00756221
-692.64955378	0.00736103
-692.61622054	0.00705260
-692.58288730	0.00684964
-692.54955406	0.00666790
-692.51622083	0.00652543
-692.48288759	0.00638146
-692.44955435	0.00646938
-692.41622112	0.00667200
-692.38288788	0.00685696
-692.34955464	0.00727457
-692.31622140	0.00760205
-692.28288817	0.00832534
-692.24955493	0.00859923
-692.21622169	0.00903219
-692.18288845	0.00933663
-692.14955522	0.00953027
-692.11622198	0.00966480
-692.08288874	0.00985704
-692.04955551	0.00983630
-692.01622227	0.00978386
-691.98288903	0.00961616
-691.94955579	0.00933937
-691.91622256	0.00902096
-691.88288932	0.00892527
-691.84955608	0.00870039
-691.81622284	0.00833526
-691.78288961	0.00799052
-691.74955637	0.00776250
-691.71622313	0.00752955
-691.68288990	0.00754780
-691.64955666	0.00746706
-691.61622342	0.00751342
-691.58289018	0.00760862
-691.54955695	0.00780562
-691.51622371	0.00787746
-691.48289047	0.00799094
-691.44955723	0.00817934
-691.41622400	0.00847193
-691.38289076	0.00878772
