# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -695.40000000 ps, Average over 5000 waveforms. Timestamp: 2023-10-25T15:05:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-695.41680513	0.00000000
-695.38347163	0.00000454
-695.35013813	0.00001794
-695.31680463	0.00004030
-695.28347113	0.00007261
-695.25013763	0.00011239
-695.21680413	0.00015702
-695.18347063	0.00020323
-695.15013713	0.00024977
-695.11680363	0.00028652
-695.08347013	0.00031491
-695.05013663	0.00032685
-695.01680313	0.00030751
-694.98346963	0.00025921
-694.95013613	0.00015038
-694.91680263	-0.00003144
-694.88346913	-0.00026008
-694.85013563	-0.00054860
-694.81680213	-0.00090839
-694.78346863	-0.00131396
-694.75013513	-0.00175041
-694.71680163	-0.00218004
-694.68346813	-0.00252067
-694.65013463	-0.00277381
-694.61680113	-0.00287398
-694.58346763	-0.00277061
-694.55013413	-0.00241197
-694.51680063	-0.00188611
-694.48346713	-0.00118617
-694.45013363	-0.00033782
-694.41680013	0.00047454
-694.38346663	0.00133441
-694.35013313	0.00206533
-694.31679963	0.00269628
-694.28346613	0.00320397
-694.25013263	0.00359364
-694.21679913	0.00393441
-694.18346563	0.00413028
-694.15013213	0.00427131
-694.11679863	0.00421788
-694.08346513	0.00415741
-694.05013163	0.00392292
-694.01679813	0.00366205
-693.98346463	0.00345801
-693.95013113	0.00324565
-693.91679763	0.00300324
-693.88346413	0.00281146
-693.85013063	0.00266192
-693.81679713	0.00251253
-693.78346363	0.00237465
-693.75013013	0.00221665
-693.71679663	0.00207290
-693.68346313	0.00192847
-693.65012963	0.00172372
-693.61679613	0.00159899
-693.58346263	0.00142492
-693.55012913	0.00126178
-693.51679563	0.00111696
-693.48346213	0.00096969
-693.45012863	0.00085474
-693.41679513	0.00079976
-693.38346163	0.00066255
-693.35012814	0.00073071
-693.31679464	0.00071178
-693.28346114	0.00077095
-693.25012764	0.00084277
-693.21679414	0.00097931
-693.18346064	0.00109220
-693.15012714	0.00113471
-693.11679364	0.00111901
-693.08346014	0.00113519
-693.05012664	0.00116750
-693.01679314	0.00109855
-692.98345964	0.00104398
-692.95012614	0.00095557
-692.91679264	0.00080230
-692.88345914	0.00067914
-692.85012564	0.00057171
-692.81679214	0.00044369
-692.78345864	0.00032107
-692.75012514	0.00027834
-692.71679164	0.00025585
-692.68345814	0.00029520
-692.65012464	0.00025673
-692.61679114	0.00025974
-692.58345764	0.00022029
-692.55012414	0.00028715
-692.51679064	0.00035180
-692.48345714	0.00047206
-692.45012364	0.00042770
-692.41679014	0.00051350
-692.38345664	0.00053235
-692.35012314	0.00053471
-692.31678964	0.00045119
-692.28345614	0.00042407
-692.25012264	0.00043707
-692.21678914	0.00043509
-692.18345564	0.00036576
-692.15012214	0.00036833
-692.11678864	0.00026887
-692.08345514	0.00027011
-692.05012164	0.00021916
-692.01678814	0.00022447
-691.98345464	0.00020781
-691.95012114	0.00022452
-691.91678764	0.00030096
-691.88345414	0.00024950
-691.85012064	0.00019334
