# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -695.40000000 ps, Average over 5000 waveforms. Timestamp: 2023-10-25T15:18:04
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-695.41562941	0.00000000
-695.38229627	0.00000233
-695.34896312	0.00000713
-695.31562998	0.00001024
-695.28229683	0.00000722
-695.24896368	-0.00000890
-695.21563054	-0.00004332
-695.18229739	-0.00010168
-695.14896425	-0.00019083
-695.11563110	-0.00031401
-695.08229795	-0.00047463
-695.04896481	-0.00066281
-695.01563166	-0.00087350
-694.98229851	-0.00109719
-694.94896537	-0.00129913
-694.91563222	-0.00145195
-694.88229908	-0.00152263
-694.84896593	-0.00147959
-694.81563278	-0.00128162
-694.78229964	-0.00091765
-694.74896649	-0.00037383
-694.71563335	0.00032912
-694.68230020	0.00116812
-694.64896705	0.00210356
-694.61563391	0.00311554
-694.58230076	0.00416744
-694.54896761	0.00519959
-694.51563447	0.00615934
-694.48230132	0.00699660
-694.44896818	0.00762209
-694.41563503	0.00796238
-694.38230188	0.00794969
-694.34896874	0.00759117
-694.31563559	0.00695352
-694.28230245	0.00605353
-694.24896930	0.00512602
-694.21563615	0.00419340
-694.18230301	0.00336836
-694.14896986	0.00267173
-694.11563671	0.00210271
-694.08230357	0.00175751
-694.04897042	0.00160748
-694.01563728	0.00178444
-693.98230413	0.00226159
-693.94897098	0.00301458
-693.91563784	0.00384488
-693.88230469	0.00469426
-693.84897154	0.00533470
-693.81563840	0.00572139
-693.78230525	0.00601346
-693.74897211	0.00610686
-693.71563896	0.00614139
-693.68230581	0.00612777
-693.64897267	0.00604104
-693.61563952	0.00578126
-693.58230638	0.00540380
-693.54897323	0.00501109
-693.51564008	0.00463340
-693.48230694	0.00436154
-693.44897379	0.00424089
-693.41564064	0.00419098
-693.38230750	0.00423390
-693.34897435	0.00435343
-693.31564121	0.00441862
-693.28230806	0.00466928
-693.24897491	0.00484642
-693.21564177	0.00501726
-693.18230862	0.00531615
-693.14897548	0.00557821
-693.11564233	0.00577687
-693.08230918	0.00594130
-693.04897604	0.00605969
-693.01564289	0.00622745
-692.98230974	0.00617664
-692.94897660	0.00622526
-692.91564345	0.00621354
-692.88231031	0.00623779
-692.84897716	0.00619212
-692.81564401	0.00615869
-692.78231087	0.00614536
-692.74897772	0.00618524
-692.71564458	0.00620000
-692.68231143	0.00621039
-692.64897828	0.00630721
-692.61564514	0.00637948
-692.58231199	0.00645370
-692.54897884	0.00644069
-692.51564570	0.00650057
-692.48231255	0.00644891
-692.44897941	0.00637141
-692.41564626	0.00630740
-692.38231311	0.00613142
-692.34897997	0.00600195
-692.31564682	0.00583619
-692.28231368	0.00558285
-692.24898053	0.00535165
-692.21564738	0.00509043
-692.18231424	0.00477549
-692.14898109	0.00452865
-692.11564794	0.00426196
-692.08231480	0.00408664
-692.04898165	0.00390103
-692.01564851	0.00367502
-691.98231536	0.00354788
-691.94898221	0.00360274
-691.91564907	0.00372465
-691.88231592	0.00393216
-691.84898277	0.00439075
-691.81564963	0.00495643
-691.78231648	0.00565754
-691.74898334	0.00642898
-691.71565019	0.00719552
-691.68231704	0.00795975
-691.64898390	0.00861886
-691.61565075	0.00914765
-691.58231761	0.00947685
-691.54898446	0.00959318
-691.51565131	0.00961277
-691.48231817	0.00936948
-691.44898502	0.00918644
-691.41565187	0.00898230
-691.38231873	0.00880480
-691.34898558	0.00863065
-691.31565244	0.00844254
-691.28231929	0.00823851
-691.24898614	0.00814001
-691.21565300	0.00808907
-691.18231985	0.00804909
-691.14898671	0.00803871
-691.11565356	0.00803596
-691.08232041	0.00799277
-691.04898727	0.00797925
-691.01565412	0.00787310
-690.98232097	0.00771205
-690.94898783	0.00749306
-690.91565468	0.00719972
-690.88232154	0.00682618
-690.84898839	0.00648662
-690.81565524	0.00602295
-690.78232210	0.00541958
-690.74898895	0.00468377
-690.71565581	0.00394165
-690.68232266	0.00309905
-690.64898951	0.00230528
-690.61565637	0.00162269
-690.58232322	0.00084745
-690.54899007	0.00023802
-690.51565693	-0.00020997
-690.48232378	-0.00044361
-690.44899064	-0.00039472
-690.41565749	-0.00013876
-690.38232434	0.00053666
-690.34899120	0.00144735
-690.31565805	0.00243338
-690.28232491	0.00343956
-690.24899176	0.00453225
-690.21565861	0.00548832
-690.18232547	0.00631229
-690.14899232	0.00695751
-690.11565917	0.00738881
-690.08232603	0.00771989
-690.04899288	0.00798961
-690.01565974	0.00807343
-689.98232659	0.00819076
-689.94899344	0.00807819
-689.91566030	0.00798082
-689.88232715	0.00772649
-689.84899401	0.00749596
-689.81566086	0.00723985
-689.78232771	0.00696630
-689.74899457	0.00672816
-689.71566142	0.00662054
-689.68232827	0.00646886
-689.64899513	0.00631550
-689.61566198	0.00624390
-689.58232884	0.00612398
-689.54899569	0.00601090
-689.51566254	0.00593569
-689.48232940	0.00579183
-689.44899625	0.00567143
-689.41566310	0.00563251
-689.38232996	0.00550283
-689.34899681	0.00544477
-689.31566367	0.00537409
-689.28233052	0.00532259
-689.24899737	0.00525100
-689.21566423	0.00519246
-689.18233108	0.00521321
-689.14899794	0.00527488
-689.11566479	0.00532509
-689.08233164	0.00539872
-689.04899850	0.00547679
-689.01566535	0.00562585
-688.98233220	0.00568388
-688.94899906	0.00576092
-688.91566591	0.00582228
-688.88233277	0.00585923
-688.84899962	0.00581826
-688.81566647	0.00583114
-688.78233333	0.00574820
-688.74900018	0.00568298
-688.71566704	0.00570454
-688.68233389	0.00551311
-688.64900074	0.00546047
-688.61566760	0.00538205
-688.58233445	0.00537985
-688.54900130	0.00534781
-688.51566816	0.00530164
-688.48233501	0.00533232
-688.44900187	0.00531129
-688.41566872	0.00533853
-688.38233557	0.00536706
-688.34900243	0.00537395
-688.31566928	0.00544249
-688.28233614	0.00550859
-688.24900299	0.00555898
-688.21566984	0.00558554
-688.18233670	0.00560317
-688.14900355	0.00547904
-688.11567040	0.00550032
-688.08233726	0.00548388
-688.04900411	0.00543920
-688.01567097	0.00544096
-687.98233782	0.00536632
-687.94900467	0.00537977
-687.91567153	0.00532209
-687.88233838	0.00530860
-687.84900524	0.00525611
-687.81567209	0.00526427
-687.78233894	0.00527618
-687.74900580	0.00525294
-687.71567265	0.00525634
-687.68233950	0.00522256
-687.64900636	0.00524463
-687.61567321	0.00522594
-687.58234007	0.00527545
-687.54900692	0.00528430
-687.51567377	0.00532231
-687.48234063	0.00533366
-687.44900748	0.00540141
-687.41567433	0.00549723
-687.38234119	0.00554968
-687.34900804	0.00562138
-687.31567490	0.00578333
-687.28234175	0.00588630
-687.24900860	0.00603061
-687.21567546	0.00615970
-687.18234231	0.00626338
-687.14900917	0.00652959
-687.11567602	0.00660716
