# Menlo Systems GmbH ScanControl
# Program Version 1.7.0+git.a90605a3
# Start: -695.40000000 ps, Average over 2000 waveforms. Timestamp: 2023-10-25T15:22:12
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-695.41562941	0.00000000
-695.38229627	-0.00000068
-695.34896312	-0.00000263
-695.31562998	-0.00000556
-695.28229683	-0.00000844
-695.24896368	-0.00001242
-695.21563054	-0.00001471
-695.18229739	-0.00001764
-695.14896425	-0.00001940
-695.11563110	-0.00001970
-695.08229795	-0.00001525
-695.04896481	-0.00000433
-695.01563166	0.00000356
-694.98229851	0.00002489
-694.94896537	0.00004413
-694.91563222	0.00007849
-694.88229908	0.00011481
-694.84896593	0.00015638
-694.81563278	0.00020847
-694.78229964	0.00025360
-694.74896649	0.00029661
-694.71563335	0.00034400
-694.68230020	0.00034621
-694.64896705	0.00033729
-694.61563391	0.00031380
-694.58230076	0.00021037
-694.54896761	0.00008011
-694.51563447	-0.00014199
-694.48230132	-0.00048198
-694.44896818	-0.00092223
-694.41563503	-0.00146884
-694.38230188	-0.00217390
-694.34896874	-0.00303889
-694.31563559	-0.00404242
-694.28230245	-0.00524643
-694.24896930	-0.00656174
-694.21563615	-0.00807942
-694.18230301	-0.00966102
-694.14896986	-0.01134554
-694.11563671	-0.01297833
-694.08230357	-0.01455668
-694.04897042	-0.01586916
-694.01563728	-0.01684293
-693.98230413	-0.01736846
-693.94897098	-0.01728341
-693.91563784	-0.01662391
-693.88230469	-0.01524518
-693.84897154	-0.01334135
-693.81563840	-0.01080308
-693.78230525	-0.00779676
-693.74897211	-0.00448632
-693.71563896	-0.00086933
-693.68230581	0.00270524
-693.64897267	0.00625366
-693.61563952	0.00945397
-693.58230638	0.01225641
-693.54897323	0.01431825
-693.51564008	0.01569600
-693.48230694	0.01618790
-693.44897379	0.01591358
-693.41564064	0.01488252
-693.38230750	0.01307010
-693.34897435	0.01091514
-693.31564121	0.00835493
-693.28230806	0.00582576
