# I_s/mA U_s/V R_s/kOhm R_shield/kOhm delta_t/s
157.6 16.56 0.0234 0.0229 0
157.6 16.56 0.0250 0.0235 135
160.2 16.78 0.0270 0.0252 173
162.2 17.03 0.0311 0.0313 328
163.2 17.15 0.0354 0.0349 351
163.7 17.24 0.0395 0.0391 341
164.3 17.32 0.0438 0.0437 385
164.6 17.37 0.0477 0.0488 372
165.0 17.42 0.0520 0.0520 415
165.2 17.45 0.0567 0.0559 452
165.4 17.48 0.0600 0.0590 337
165.6 17.50 0.0642 0.0653 431
165.7 17.52 0.0685 0.0681 458
165.8 17.53 0.0720 0.0702 380
166.0 17.54 0.0760 0.0754 433
166.0 17.56 0.0801 0.0789 447
166.2 17.56 0.0847 0.0835 516
166.2 17.56 0.0881 0.0878 406
166.4 17.57 0.0921 0.0913 471
166.4 17.57 0.0961 0.0963 464
166.4 17.57 0.1000 0.1007 449
166.5 17.57 0.1039 0.1037 449
166.5 17.57 0.1080 0.1081 486
166.6 17.56 0.1118 0.1122 426
